Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
19,"void benchmark_func<double, 256, 8u, 3u>(double, double*) [clone .kd]",0,0,56,248348,248348,4194304,256,0,0,16,24,25536,0x7f09a2f47a00,0x7f08a279b400,0,0,0,477234058578213,477234058524115,477234060065562,477234060106040
20,"void benchmark_func<__half2, 256, 8u, 3u>(__half2, __half2*) [clone .kd]",0,0,59,248348,248348,4194304,256,0,0,12,24,26240,0x7f09a2f47880,0x7f08a279b440,0,0,0,477234060120480,477234060065562,477234061481569,477234061495061
21,"void benchmark_func<int, 256, 8u, 3u>(int, int*) [clone .kd]",0,0,62,248348,248348,4194304,256,0,0,12,24,26944,0x7f09a2f47700,0x7f08a279b480,0,0,0,477234061519560,477234061481569,477234062954216,477234062968269
22,"void benchmark_func<float, 256, 8u, 4u>(float, float*) [clone .kd]",0,0,65,248348,248348,4194304,256,0,0,12,24,27648,0x7f09a5179580,0x7f08a279b4c0,0,0,0,477234063000278,477234062954216,477234064354223,477234064396088
23,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 4u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,68,248348,248348,4194304,256,0,0,16,24,28608,0x7f09a5179400,0x7f08a279b500,0,0,0,477234064410738,477234064354223,477234065908310,477234065949785
24,"void benchmark_func<double, 256, 8u, 4u>(double, double*) [clone .kd]",0,0,71,248348,248348,4194304,256,0,0,16,24,29312,0x7f09a5179280,0x7f08a279b540,0,0,0,477234065964214,477234065908310,477234067429437,477234067471812
25,"void benchmark_func<__half2, 256, 8u, 4u>(__half2, __half2*) [clone .kd]",0,0,74,248348,248348,4194304,256,0,0,12,24,30016,0x7f09a5179100,0x7f08a279b580,0,0,0,477234067486272,477234067429437,477234068841604,477234068881282
26,"void benchmark_func<int, 256, 8u, 4u>(int, int*) [clone .kd]",0,0,77,248348,248348,4194304,256,0,0,8,24,30976,0x7f09a2f47f80,0x7f08a279b5c0,0,0,0,477234068896141,477234068841604,477234070342411,477234070382629
27,"void benchmark_func<float, 256, 8u, 5u>(float, float*) [clone .kd]",0,0,80,248348,248348,4194304,256,0,0,12,24,31680,0x7f09a2f47e00,0x7f08a279b600,0,0,0,477234070404889,477234070342411,477234071742738,477234071783139
28,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 5u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,83,248348,248348,4194304,256,0,0,16,24,32640,0x7f09a2f47c80,0x7f08a279b640,0,0,0,477234071797349,477234071742738,477234073294905,477234073335246
29,"void benchmark_func<double, 256, 8u, 5u>(double, double*) [clone .kd]",0,0,86,248348,248348,4194304,256,0,0,12,24,33600,0x7f09a2f47b00,0x7f08a279b680,0,0,0,477234073348866,477234073294905,477234074819552,477234074861233
30,"void benchmark_func<__half2, 256, 8u, 5u>(__half2, __half2*) [clone .kd]",0,0,89,248348,248348,4194304,256,0,0,12,24,34560,0x7f09a2f47980,0x7f08a279b6c0,0,0,0,477234074874603,477234074819552,477234076266919,477234076306472
31,"void benchmark_func<int, 256, 8u, 5u>(int, int*) [clone .kd]",0,0,92,248348,248348,4194304,256,0,0,8,24,35520,0x7f09a2f47800,0x7f08a279b700,0,0,0,477234076321722,477234076266919,477234077755886,477234077769801
32,"void benchmark_func<float, 256, 8u, 6u>(float, float*) [clone .kd]",0,0,95,248348,248348,4194304,256,0,0,12,24,36224,0x7f09a2f47680,0x7f08a279b740,0,0,0,477234077800640,477234077755886,477234079187733,477234079200840
33,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 6u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,98,248348,248348,4194304,256,0,0,12,24,37184,0x7f09a5179500,0x7f08a279b780,0,0,0,477234079223869,477234079187733,477234080733980,477234080777436
34,"void benchmark_func<double, 256, 8u, 6u>(double, double*) [clone .kd]",0,0,101,248348,248348,4194304,256,0,0,12,24,38144,0x7f09a5179380,0x7f08a279b7c0,0,0,0,477234080791086,477234080733980,477234082260227,477234082302253
35,"void benchmark_func<__half2, 256, 8u, 6u>(__half2, __half2*) [clone .kd]",0,0,104,248348,248348,4194304,256,0,0,12,24,39104,0x7f09a5179200,0x7f08a279b800,0,0,0,477234082317073,477234082260227,477234083725674,477234083767082
36,"void benchmark_func<int, 256, 8u, 6u>(int, int*) [clone .kd]",0,0,107,248348,248348,4194304,256,0,0,8,24,40320,0x7f09a5179080,0x7f08a279b840,0,0,0,477234083780681,477234083725674,477234085248882,477234085262479
37,"void benchmark_func<float, 256, 8u, 7u>(float, float*) [clone .kd]",0,0,110,248348,248348,4194304,256,0,0,12,24,41280,0x7f09a2f47f00,0x7f08a279b880,0,0,0,477234085293649,477234085248882,477234086678648,477234086691548
38,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 7u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,113,248348,248348,4194304,256,0,0,12,24,42240,0x7f09a2f47d80,0x7f08a279b8c0,0,0,0,477234086715518,477234086678648,477234088244896,477234088287374
39,"void benchmark_func<double, 256, 8u, 7u>(double, double*) [clone .kd]",0,0,116,248348,248348,4194304,256,0,0,12,24,43200,0x7f09a2f47c00,0x7f08a279b900,0,0,0,477234088300283,477234088244896,477234089764103,477234089804041
40,"void benchmark_func<__half2, 256, 8u, 7u>(__half2, __half2*) [clone .kd]",0,0,119,248348,248348,4194304,256,0,0,8,24,44160,0x7f09a2f47a80,0x7f08a279b940,0,0,0,477234089817941,477234089764014,477234091243700,477234091283719
41,"void benchmark_func<int, 256, 8u, 7u>(int, int*) [clone .kd]",0,0,122,248348,248348,4194304,256,0,0,12,24,45376,0x7f09a2f47900,0x7f08a279b980,0,0,0,477234091297959,477234091243700,477234092781307,477234092822326
42,"void benchmark_func<float, 256, 8u, 8u>(float, float*) [clone .kd]",0,0,125,248348,248348,4194304,256,0,0,12,24,46336,0x7f09a2f47780,0x7f08a279b9c0,0,0,0,477234092844116,477234092781307,477234094260034,477234094272795
43,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 8u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,128,248348,248348,4194304,256,0,0,12,24,47552,0x7f09a2f47600,0x7f08a279ba00,0,0,0,477234094297175,477234094260034,477234095827081,477234095840941
44,"void benchmark_func<double, 256, 8u, 8u>(double, double*) [clone .kd]",0,0,131,248348,248348,4194304,256,0,0,12,24,48512,0x7f09a5179480,0x7f08a279ba40,0,0,0,477234095864071,477234095827081,477234097377168,477234097391898
45,"void benchmark_func<__half2, 256, 8u, 8u>(__half2, __half2*) [clone .kd]",0,0,134,248348,248348,4194304,256,0,0,8,24,49472,0x7f09a5179300,0x7f08a279ba80,0,0,0,477234097412438,477234097377168,477234098870455,477234098885056
46,"void benchmark_func<int, 256, 8u, 8u>(int, int*) [clone .kd]",0,0,137,248348,248348,4194304,256,0,0,12,24,50688,0x7f09a5179180,0x7f08a279bac0,0,0,0,477234098907705,477234098870455,477234100398462,477234100421113
47,"void benchmark_func<float, 256, 8u, 9u>(float, float*) [clone .kd]",0,0,140,248348,248348,4194304,256,0,0,12,24,51648,0x7f09a5179000,0x7f08a279bb00,0,0,0,477234100443352,477234100398462,477234101873509,477234101914001
48,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 9u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,143,248348,248348,4194304,256,0,0,12,24,52864,0x7f09a2f47e80,0x7f08a279bb40,0,0,0,477234101926600,477234101873509,477234103444716,477234103485047
49,"void benchmark_func<double, 256, 8u, 9u>(double, double*) [clone .kd]",0,0,146,248348,248348,4194304,256,0,0,12,24,54080,0x7f09a2f47d00,0x7f08a279bb80,0,0,0,477234103498027,477234103444716,477234104984083,477234105024454
50,"void benchmark_func<__half2, 256, 8u, 9u>(__half2, __half2*) [clone .kd]",0,0,149,248348,248348,4194304,256,0,0,8,24,55296,0x7f09a2f47b80,0x7f08a279bbc0,0,0,0,477234105037874,477234104984083,477234106487450,477234106527311
51,"void benchmark_func<int, 256, 8u, 9u>(int, int*) [clone .kd]",0,0,152,248348,248348,4194304,256,0,0,12,24,56768,0x7f09a2f47a00,0x7f08a279bc00,0,0,0,477234106541891,477234106487450,477234108006177,477234108045189
52,"void benchmark_func<float, 256, 8u, 10u>(float, float*) [clone .kd]",0,0,155,248348,248348,4194304,256,0,0,12,24,57728,0x7f09a2f47880,0x7f08a279bc40,0,0,0,477234108067318,477234108006177,477234109483304,477234109523327
53,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 10u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,158,248348,248348,4194304,256,0,0,12,24,58944,0x7f09a2f47700,0x7f08a279bc80,0,0,0,477234109536817,477234109483304,477234111076591,477234111093253
54,"void benchmark_func<double, 256, 8u, 10u>(double, double*) [clone .kd]",0,0,161,248348,248348,4194304,256,0,0,12,24,60160,0x7f09a5179580,0x7f08a279bcc0,0,0,0,477234111113583,477234111076591,477234112631158,477234112674049
55,"void benchmark_func<__half2, 256, 8u, 10u>(__half2, __half2*) [clone .kd]",0,0,164,248348,248348,4194304,256,0,0,8,24,61376,0x7f09a5179400,0x7f08a279bd00,0,0,0,477234112687519,477234112631158,477234114154845,477234114167477
56,"void benchmark_func<int, 256, 8u, 10u>(int, int*) [clone .kd]",0,0,167,248348,248348,4194304,256,0,0,12,24,62848,0x7f09a5179280,0x7f08a279bd40,0,0,0,477234114192817,477234114154845,477234115691172,477234115705494
57,"void benchmark_func<float, 256, 8u, 11u>(float, float*) [clone .kd]",0,0,170,248348,248348,4194304,256,0,0,12,24,63808,0x7f09a5179100,0x7f08a279bd80,0,0,0,477234115736943,477234115691172,477234117176459,477234117216571
58,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 11u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,173,248348,248348,4194304,256,0,0,12,24,65024,0x7f09a2f47f80,0x7f08a279bdc0,0,0,0,477234117230931,477234117176459,477234118736146,477234118776298
59,"void benchmark_func<double, 256, 8u, 11u>(double, double*) [clone .kd]",0,0,176,248348,248348,4194304,256,0,0,12,24,66240,0x7f09a2f47e00,0x7f08a279be00,0,0,0,477234118789687,477234118736146,477234120277593,477234120318974
60,"void benchmark_func<__half2, 256, 8u, 11u>(__half2, __half2*) [clone .kd]",0,0,179,248348,248348,4194304,256,0,0,8,24,67456,0x7f09a2f47c80,0x7f08a279be40,0,0,0,477234120333174,477234120277593,477234121786560,477234121828772
61,"void benchmark_func<int, 256, 8u, 11u>(int, int*) [clone .kd]",0,0,182,248348,248348,4194304,256,0,0,12,24,68928,0x7f09a2f47b00,0x7f08a279be80,0,0,0,477234121842071,477234121786560,477234123304487,477234123345099
62,"void benchmark_func<float, 256, 8u, 12u>(float, float*) [clone .kd]",0,0,185,248348,248348,4194304,256,0,0,12,24,70144,0x7f09a2f47980,0x7f08a279bec0,0,0,0,477234123366279,477234123304487,477234124798414,477234124840887
63,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 12u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,188,248348,248348,4194304,256,0,0,12,24,71616,0x7f09a2f47800,0x7f08a279bf00,0,0,0,477234124854277,477234124798414,477234126342101,477234126384134
64,"void benchmark_func<double, 256, 8u, 12u>(double, double*) [clone .kd]",0,0,191,248348,248348,4194304,256,0,0,12,24,72832,0x7f09a2f47680,0x7f08a279bf40,0,0,0,477234126397053,477234126342101,477234127908988,477234127948500
65,"void benchmark_func<__half2, 256, 8u, 12u>(__half2, __half2*) [clone .kd]",0,0,194,248348,248348,4194304,256,0,0,8,24,74048,0x7f09a5179500,0x7f08a279bf80,0,0,0,477234127962640,477234127908988,477234129427395,477234129469777
66,"void benchmark_func<int, 256, 8u, 12u>(int, int*) [clone .kd]",0,0,197,248348,248348,4194304,256,0,0,12,24,75776,0x7f09a5179380,0x7f08a279bfc0,0,0,0,477234129483647,477234129427395,477234130950602,477234130990535
67,"void benchmark_func<float, 256, 8u, 13u>(float, float*) [clone .kd]",0,0,200,248348,248348,4194304,256,0,0,12,24,76992,0x7f09a5179200,0x7f08a279c000,0,0,0,477234131012544,477234130950602,477234132454289,477234132494652
68,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 13u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,203,248348,248348,4194304,256,0,0,12,24,78464,0x7f09a5179080,0x7f08a279c040,0,0,0,477234132508622,477234132454289,477234134001816,477234134041589
69,"void benchmark_func<double, 256, 8u, 13u>(double, double*) [clone .kd]",0,0,206,248348,248348,4194304,256,0,0,12,24,79936,0x7f09a2f47f00,0x7f08a279c080,0,0,0,477234134054879,477234134001816,477234135549983,477234135590316
70,"void benchmark_func<__half2, 256, 8u, 13u>(__half2, __half2*) [clone .kd]",0,0,209,248348,248348,4194304,256,0,0,8,24,81408,0x7f09a2f47d80,0x7f08a279c0c0,0,0,0,477234135604155,477234135549983,477234137071750,477234137111323
71,"void benchmark_func<int, 256, 8u, 13u>(int, int*) [clone .kd]",0,0,212,248348,248348,4194304,256,0,0,12,24,83136,0x7f09a2f47c00,0x7f08a279c100,0,0,0,477234137125223,477234137071750,477234138593517,477234138633790
72,"void benchmark_func<float, 256, 8u, 14u>(float, float*) [clone .kd]",0,0,215,248348,248348,4194304,256,0,0,12,24,84352,0x7f09a2f47a80,0x7f08a279c140,0,0,0,477234138667760,477234138593517,477234140107764,477234140147788
73,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 14u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,218,248348,248348,4194304,256,0,0,12,24,85824,0x7f09a2f47900,0x7f08a279c180,0,0,0,477234140161847,477234140107764,477234141646171,477234141659275
74,"void benchmark_func<double, 256, 8u, 14u>(double, double*) [clone .kd]",0,0,221,248348,248348,4194304,256,0,0,12,24,87296,0x7f09a2f47780,0x7f08a279c1c0,0,0,0,477234141682125,477234141646171,477234143206818,477234143221212
75,"void benchmark_func<__half2, 256, 8u, 14u>(__half2, __half2*) [clone .kd]",0,0,224,248348,248348,4194304,256,0,0,12,24,88768,0x7f09a2f47600,0x7f08a279c200,0,0,0,477234143243091,477234143206818,477234144751625,477234144765828
76,"void benchmark_func<int, 256, 8u, 14u>(int, int*) [clone .kd]",0,0,227,248348,248348,4194304,256,0,0,12,24,90752,0x7f09a5179480,0x7f08a279c240,0,0,0,477234144788108,477234144751625,477234146287152,477234146302055
77,"void benchmark_func<float, 256, 8u, 15u>(float, float*) [clone .kd]",0,0,230,248348,248348,4194304,256,0,0,12,24,91968,0x7f09a5179300,0x7f08a279c280,0,0,0,477234146332155,477234146287152,477234147800439,477234147812823
78,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 15u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,233,248348,248348,4194304,256,0,0,12,24,93440,0x7f09a5179180,0x7f08a279c2c0,0,0,0,477234147835852,477234147800439,477234149339966,477234149381919
79,"void benchmark_func<double, 256, 8u, 15u>(double, double*) [clone .kd]",0,0,236,248348,248348,4194304,256,0,0,12,24,94912,0x7f09a5179000,0x7f08a279c300,0,0,0,477234149395529,477234149339966,477234150891493,477234150904026
80,"void benchmark_func<__half2, 256, 8u, 15u>(__half2, __half2*) [clone .kd]",0,0,239,248348,248348,4194304,256,0,0,12,24,96384,0x7f09a2f47e80,0x7f08a279c340,0,0,0,477234150926986,477234150891493,477234152423980,477234152438683
81,"void benchmark_func<int, 256, 8u, 15u>(int, int*) [clone .kd]",0,0,242,248348,248348,4194304,256,0,0,12,24,98368,0x7f09a2f47d00,0x7f08a279c380,0,0,0,477234152461373,477234152428173,477234153970270,477234153988590
82,"void benchmark_func<float, 256, 8u, 16u>(float, float*) [clone .kd]",0,0,245,248348,248348,4194304,256,0,0,12,24,99584,0x7f09a2f47b80,0x7f08a279c3c0,0,0,0,477234154009859,477234153970270,477234155491727,477234155500037
83,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 16u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,248,248348,248348,4194304,256,0,0,12,24,101312,0x7f09a2f47a00,0x7f08a279c400,0,0,0,477234155523417,477234155491727,477234157048545,477234157086843
84,"void benchmark_func<double, 256, 8u, 16u>(double, double*) [clone .kd]",0,0,251,248348,248348,4194304,256,0,0,12,24,102784,0x7f09a2f47880,0x7f08a279c440,0,0,0,477234157099703,477234157048545,477234158602162,477234158610890
85,"void benchmark_func<__half2, 256, 8u, 16u>(__half2, __half2*) [clone .kd]",0,0,254,248348,248348,4194304,256,0,0,12,24,104256,0x7f09a2f47700,0x7f08a279c480,0,0,0,477234158633950,477234158602162,477234160125860,477234160163527
86,"void benchmark_func<int, 256, 8u, 16u>(int, int*) [clone .kd]",0,0,257,248348,248348,4194304,256,0,0,12,24,106240,0x7f09a5179580,0x7f08a279c4c0,0,0,0,477234160177896,477234160125860,477234161651318,477234161661484
87,"void benchmark_func<float, 256, 8u, 17u>(float, float*) [clone .kd]",0,0,260,248348,248348,4194304,256,0,0,12,24,107712,0x7f09a5179400,0x7f08a279c500,0,0,0,477234161692084,477234161651318,477234163166215,477234163174432
88,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 17u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,263,248348,248348,4194304,256,0,0,16,24,109440,0x7f09a5179280,0x7f08a279c540,0,0,0,477234163197181,477234163166215,477234164715833,477234164753268
89,"void benchmark_func<double, 256, 8u, 17u>(double, double*) [clone .kd]",0,0,266,248348,248348,4194304,256,0,0,16,24,111168,0x7f09a5179100,0x7f08a279c580,0,0,0,477234164766568,477234164715833,477234166300331,477234166308375
90,"void benchmark_func<__half2, 256, 8u, 17u>(__half2, __half2*) [clone .kd]",0,0,269,248348,248348,4194304,256,0,0,8,24,112896,0x7f09a2f47f80,0x7f08a279c5c0,0,0,0,477234166332354,477234166300331,477234167829788,477234167839732
91,"void benchmark_func<int, 256, 8u, 17u>(int, int*) [clone .kd]",0,0,272,248348,248348,4194304,256,0,0,12,24,115136,0x7f09a2f47e00,0x7f08a279c600,0,0,0,477234167860561,477234167829788,477234169367086,477234169378698
92,"void benchmark_func<float, 256, 8u, 18u>(float, float*) [clone .kd]",0,0,275,248348,248348,4194304,256,0,0,12,24,116608,0x7f09a2f47c80,0x7f08a279c640,0,0,0,477234169406218,477234169367086,477234170891584,477234170900516
93,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 18u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,278,248348,248348,4194304,256,0,0,16,24,118336,0x7f09a2f47b00,0x7f08a279c680,0,0,0,477234170922465,477234170891584,477234172451602,477234172490162
94,"void benchmark_func<double, 256, 8u, 18u>(double, double*) [clone .kd]",0,0,281,248348,248348,4194304,256,0,0,16,24,120064,0x7f09a2f47980,0x7f08a279c6c0,0,0,0,477234172502591,477234172451602,477234174012419,477234174049258
95,"void benchmark_func<__half2, 256, 8u, 18u>(__half2, __half2*) [clone .kd]",0,0,284,248348,248348,4194304,256,0,0,12,24,121792,0x7f09a2f47800,0x7f08a279c700,0,0,0,477234174061048,477234174012419,477234175530997,477234175568585
96,"void benchmark_func<int, 256, 8u, 18u>(int, int*) [clone .kd]",0,0,287,248348,248348,4194304,256,0,0,12,24,124032,0x7f09a2f47680,0x7f08a279c740,0,0,0,477234175581585,477234175530997,477234177062534,477234177099562
97,"void benchmark_func<float, 256, 8u, 20u>(float, float*) [clone .kd]",0,0,290,248348,248348,4194304,256,0,0,12,24,125504,0x7f09a5179500,0x7f08a279c780,0,0,0,477234177120032,477234177062534,477234178586392,477234178623820
98,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 20u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,293,248348,248348,4194304,256,0,0,12,24,127488,0x7f09a5179380,0x7f08a279c7c0,0,0,0,477234178636339,477234178586392,477234180145930,477234180163817
99,"void benchmark_func<double, 256, 8u, 20u>(double, double*) [clone .kd]",0,0,296,248348,248348,4194304,256,0,0,12,24,129216,0x7f09a5179200,0x7f08a279c800,0,0,0,477234180176726,477234180145930,477234181716028,477234181753462
100,"void benchmark_func<__half2, 256, 8u, 20u>(__half2, __half2*) [clone .kd]",0,0,299,248348,248348,4194304,256,0,0,12,24,130944,0x7f09a5179080,0x7f08a279c840,0,0,0,477234181765672,477234181716028,477234183233005,477234183268130
101,"void benchmark_func<int, 256, 8u, 20u>(int, int*) [clone .kd]",0,0,302,248348,248348,4194304,256,0,0,12,24,133440,0x7f09a2f47f00,0x7f08a279c880,0,0,0,477234183279370,477234183233005,477234184760703,477234184796497
102,"void benchmark_func<float, 256, 8u, 22u>(float, float*) [clone .kd]",0,0,305,248348,248348,4194304,256,0,0,12,24,134912,0x7f09a2f47d80,0x7f08a279c8c0,0,0,0,477234184817856,477234184760703,477234186291120,477234186327004
103,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 22u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,308,248348,248348,4194304,256,0,0,12,24,136896,0x7f09a2f47c00,0x7f08a279c900,0,0,0,477234186339053,477234186291120,477234187875299,477234187910919
104,"void benchmark_func<double, 256, 8u, 22u>(double, double*) [clone .kd]",0,0,311,248348,248348,4194304,256,0,0,12,24,138880,0x7f09a2f47a80,0x7f08a279c940,0,0,0,477234187922869,477234187875299,477234189447637,477234189485545
105,"void benchmark_func<__half2, 256, 8u, 22u>(__half2, __half2*) [clone .kd]",0,0,314,248348,248348,4194304,256,0,0,12,24,140864,0x7f09a2f47900,0x7f08a279c980,0,0,0,477234189498725,477234189447637,477234190970854,477234190980063
106,"void benchmark_func<int, 256, 8u, 22u>(int, int*) [clone .kd]",0,0,317,248348,248348,4194304,256,0,0,12,24,143616,0x7f09a2f47780,0x7f08a279c9c0,0,0,0,477234191001553,477234190970854,477234192512152,477234192551229
