Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_LDS,SQ_INST_LEVEL_LDS,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_fillBufferAligned.kd",0,0,0,248348,248348,33554432,256,0,0,4,32,2560,0x0,0x7f09a2f548c0,0,0,0,477233879162216,477233183802689,477234027563489,477234027654249
1,"void benchmark_func<short, 256, 8u, 0u>(short, short*) [clone .kd]",0,0,2,248348,248348,32768,256,0,0,12,24,13888,0x0,0x7f08a279af80,0,0,0,477234032953075,477234027563489,477234033680477,477234033761928
2,"void benchmark_func<float, 256, 8u, 0u>(float, float*) [clone .kd]",0,0,5,248348,248348,4194304,256,0,0,12,24,14336,0x7f09a5179380,0x7f08a279afc0,0,0,0,477234033726488,477234033680477,477234035073604,477234035145498
3,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 0u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,8,248348,248348,4194304,256,0,0,16,24,15040,0x7f09a5179200,0x7f08a279b000,0,0,0,477234035166587,477234035073604,477234036567371,477234036636566
4,"void benchmark_func<double, 256, 8u, 0u>(double, double*) [clone .kd]",0,0,11,248348,248348,4194304,256,0,0,16,24,15488,0x7f09a5179080,0x7f08a279b040,0,0,0,477234036652436,477234036567371,477234038061298,477234038129724
5,"void benchmark_func<__half2, 256, 8u, 0u>(__half2, __half2*) [clone .kd]",0,0,14,248348,248348,4194304,256,0,0,12,24,15936,0x7f09a2f47f00,0x7f08a279b080,0,0,0,477234038143103,477234038061298,477234039461144,477234039504084
6,"void benchmark_func<int, 256, 8u, 0u>(int, int*) [clone .kd]",0,0,17,248348,248348,4194304,256,0,0,12,24,16384,0x7f09a2f47d80,0x7f08a279b0c0,0,0,0,477234039518094,477234039461144,477234040857311,477234040925874
7,"void benchmark_func<float, 256, 8u, 1u>(float, float*) [clone .kd]",0,0,20,248348,248348,4194304,256,0,0,12,24,17088,0x7f09a2f47c00,0x7f08a279b100,0,0,0,477234040954443,477234040857311,477234042254438,477234042296654
8,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 1u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,23,248348,248348,4194304,256,0,0,16,24,17792,0x7f09a2f47a80,0x7f08a279b140,0,0,0,477234042309404,477234042254438,477234043849005,477234043893490
9,"void benchmark_func<double, 256, 8u, 1u>(double, double*) [clone .kd]",0,0,26,248348,248348,4194304,256,0,0,16,24,18496,0x7f09a2f47900,0x7f08a279b180,0,0,0,477234043906600,477234043849005,477234045411893,477234045480546
10,"void benchmark_func<__half2, 256, 8u, 1u>(__half2, __half2*) [clone .kd]",0,0,29,248348,248348,4194304,256,0,0,16,24,19200,0x7f09a2f47780,0x7f08a279b1c0,0,0,0,477234045495505,477234045411893,477234046809979,477234046877916
11,"void benchmark_func<int, 256, 8u, 1u>(int, int*) [clone .kd]",0,0,32,248348,248348,4194304,256,0,0,16,24,19904,0x7f09a2f47600,0x7f08a279b200,0,0,0,477234046891255,477234046809979,477234048202946,477234048245486
12,"void benchmark_func<float, 256, 8u, 2u>(float, float*) [clone .kd]",0,0,35,248348,248348,4194304,256,0,0,12,24,20608,0x7f09a5179480,0x7f08a279b240,0,0,0,477234048268426,477234048202946,477234049601833,477234049615587
13,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 2u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,38,248348,248348,4194304,256,0,0,16,24,21312,0x7f09a5179300,0x7f08a279b280,0,0,0,477234049638546,477234049601833,477234051176080,477234051190483
14,"void benchmark_func<double, 256, 8u, 2u>(double, double*) [clone .kd]",0,0,41,248348,248348,4194304,256,0,0,16,24,22016,0x7f09a5179180,0x7f08a279b2c0,0,0,0,477234051212562,477234051176080,477234052707607,477234052723100
15,"void benchmark_func<__half2, 256, 8u, 2u>(__half2, __half2*) [clone .kd]",0,0,44,248348,248348,4194304,256,0,0,16,24,22720,0x7f09a5179000,0x7f08a279b300,0,0,0,477234052744799,477234052707607,477234054126654,477234054142239
16,"void benchmark_func<int, 256, 8u, 2u>(int, int*) [clone .kd]",0,0,47,248348,248348,4194304,256,0,0,12,24,23424,0x7f09a2f47e80,0x7f08a279b340,0,0,0,477234054164949,477234054126654,477234055547301,477234055589278
17,"void benchmark_func<float, 256, 8u, 3u>(float, float*) [clone .kd]",0,0,50,248348,248348,4194304,256,0,0,12,24,24128,0x7f09a2f47d00,0x7f08a279b380,0,0,0,477234055610317,477234055547301,477234056940427,477234056981628
18,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 3u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,53,248348,248348,4194304,256,0,0,16,24,24832,0x7f09a2f47b80,0x7f08a279b3c0,0,0,0,477234056996027,477234056940427,477234058524115,477234058563394
