Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
33,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 6u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,98,248390,248390,4194304,256,0,0,12,24,37184,0x7f31bb6a1500,0x7f30b8d9b780,477234966367542,477234966949914,477234967840958,477234967881369
34,"void benchmark_func<double, 256, 8u, 6u>(double, double*) [clone .kd]",0,0,101,248390,248390,4194304,256,0,0,12,24,38144,0x7f31bb6a1380,0x7f30b8d9b7c0,477234967891939,477234968474082,477234969341766,477234969381397
35,"void benchmark_func<__half2, 256, 8u, 6u>(__half2, __half2*) [clone .kd]",0,0,104,248390,248390,4194304,256,0,0,12,24,39104,0x7f31bb6a1200,0x7f30b8d9b800,477234969392187,477234969974729,477234970798254,477234970839385
36,"void benchmark_func<int, 256, 8u, 6u>(int, int*) [clone .kd]",0,0,107,248390,248390,4194304,256,0,0,8,24,40320,0x7f31bb6a1080,0x7f30b8d9b840,477234970849575,477234971431377,477234972299701,477234972343163
37,"void benchmark_func<float, 256, 8u, 7u>(float, float*) [clone .kd]",0,0,110,248390,248390,4194304,256,0,0,12,24,41280,0x7f31b9407f00,0x7f30b8d9b880,477234972360862,477234972932825,477234973720669,477234973760932
38,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 7u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,113,248390,248390,4194304,256,0,0,12,24,42240,0x7f31b9407d80,0x7f30b8d9b8c0,477234973771942,477234974353632,477234975240197,477234975285519
39,"void benchmark_func<double, 256, 8u, 7u>(double, double*) [clone .kd]",0,0,116,248390,248390,4194304,256,0,0,12,24,43200,0x7f31b9407c00,0x7f30b8d9b900,477234975295949,477234975874440,477234976736364,477234976777677
40,"void benchmark_func<__half2, 256, 8u, 7u>(__half2, __half2*) [clone .kd]",0,0,119,248390,248390,4194304,256,0,0,8,24,44160,0x7f31b9407a80,0x7f30b8d9b940,477234976789077,477234977369808,477234978186612,477234978229336
41,"void benchmark_func<int, 256, 8u, 7u>(int, int*) [clone .kd]",0,0,122,248390,248390,4194304,256,0,0,12,24,45376,0x7f31b9407900,0x7f30b8d9b980,477234978239566,477234978819643,477234979683326,477234979725084
42,"void benchmark_func<float, 256, 8u, 8u>(float, float*) [clone .kd]",0,0,125,248390,248390,4194304,256,0,0,12,24,46336,0x7f31b9407780,0x7f30b8d9b9c0,477234979741764,477234980316769,477234981141573,477234981182133
43,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 8u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,128,248390,248390,4194304,256,0,0,12,24,47552,0x7f31b9407600,0x7f30b8d9ba00,477234981191772,477234981774376,477234982716140,477234982760219
44,"void benchmark_func<double, 256, 8u, 8u>(double, double*) [clone .kd]",0,0,131,248390,248390,4194304,256,0,0,12,24,48512,0x7f31bb6a1480,0x7f30b8d9ba40,477234982770288,477234983349743,477234984237747,477234984282176
45,"void benchmark_func<__half2, 256, 8u, 8u>(__half2, __half2*) [clone .kd]",0,0,134,248390,248390,4194304,256,0,0,8,24,49472,0x7f31bb6a1300,0x7f30b8d9ba80,477234984291856,477234984870070,477234985732474,477234985775214
46,"void benchmark_func<int, 256, 8u, 8u>(int, int*) [clone .kd]",0,0,137,248390,248390,4194304,256,0,0,12,24,50688,0x7f31bb6a1180,0x7f30b8d9bac0,477234985785044,477234986365757,477234987225440,477234987263382
47,"void benchmark_func<float, 256, 8u, 9u>(float, float*) [clone .kd]",0,0,140,248390,248390,4194304,256,0,0,12,24,51648,0x7f31bb6a1000,0x7f30b8d9bb00,477234987281651,477234987858243,477234988686567,477234988728550
48,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 9u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,143,248390,248390,4194304,256,0,0,12,24,52864,0x7f31b9407e80,0x7f30b8d9bb40,477234988741230,477234989320170,477234990240974,477234990281787
49,"void benchmark_func<double, 256, 8u, 9u>(double, double*) [clone .kd]",0,0,146,248390,248390,4194304,256,0,0,12,24,54080,0x7f31b9407d00,0x7f30b8d9bb80,477234990293127,477234990873617,477234991763861,477234991809034
50,"void benchmark_func<__half2, 256, 8u, 9u>(__half2, __half2*) [clone .kd]",0,0,149,248390,248390,4194304,256,0,0,8,24,55296,0x7f31b9407b80,0x7f30b8d9bbc0,477234991819694,477234992398424,477234993237308,477234993278062
51,"void benchmark_func<int, 256, 8u, 9u>(int, int*) [clone .kd]",0,0,152,248390,248390,4194304,256,0,0,12,24,56768,0x7f31b9407a00,0x7f30b8d9bc00,477234993289352,477234993871711,477234994737794,477234994778410
52,"void benchmark_func<float, 256, 8u, 10u>(float, float*) [clone .kd]",0,0,155,248390,248390,4194304,256,0,0,12,24,57728,0x7f31b9407880,0x7f30b8d9bc40,477234994794780,477234995371077,477234996205001,477234996247779
53,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 10u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,158,248390,248390,4194304,256,0,0,12,24,58944,0x7f31b9407700,0x7f30b8d9bc80,477234996257058,477234996838604,477234997745488,477234997785906
54,"void benchmark_func<double, 256, 8u, 10u>(double, double*) [clone .kd]",0,0,161,248390,248390,4194304,256,0,0,12,24,60160,0x7f31bb6a1580,0x7f30b8d9bcc0,477234997796485,477234998378611,477234999274775,477234999316033
55,"void benchmark_func<__half2, 256, 8u, 10u>(__half2, __half2*) [clone .kd]",0,0,164,248390,248390,4194304,256,0,0,8,24,61376,0x7f31bb6a1400,0x7f30b8d9bd00,477234999326222,477234999908218,477235000773502,477235000846120
56,"void benchmark_func<int, 256, 8u, 10u>(int, int*) [clone .kd]",0,0,167,248390,248390,4194304,256,0,0,12,24,62848,0x7f31bb6a1280,0x7f30b8d9bd40,477235000858799,477235001406465,477235002269029,477235002339017
57,"void benchmark_func<float, 256, 8u, 11u>(float, float*) [clone .kd]",0,0,170,248390,248390,4194304,256,0,0,12,24,63808,0x7f31bb6a1100,0x7f30b8d9bd80,477235002353767,477235002902311,477235003740715,477235003809775
58,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 11u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,173,248390,248390,4194304,256,0,0,12,24,65024,0x7f31b9407f80,0x7f30b8d9bdc0,477235003822225,477235004375118,477235005279922,477235005347922
59,"void benchmark_func<double, 256, 8u, 11u>(double, double*) [clone .kd]",0,0,176,248390,248390,4194304,256,0,0,12,24,66240,0x7f31b9407e00,0x7f30b8d9be00,477235005359902,477235005915285,477235006805369,477235006850890
60,"void benchmark_func<__half2, 256, 8u, 11u>(__half2, __half2*) [clone .kd]",0,0,179,248390,248390,4194304,256,0,0,8,24,67456,0x7f31b9407c80,0x7f30b8d9be40,477235006861960,477235007438652,477235008294496,477235008364467
61,"void benchmark_func<int, 256, 8u, 11u>(int, int*) [clone .kd]",0,0,182,248390,248390,4194304,256,0,0,12,24,68928,0x7f31b9407b00,0x7f30b8d9be80,477235008374627,477235008928419,477235009794663,477235009867475
62,"void benchmark_func<float, 256, 8u, 12u>(float, float*) [clone .kd]",0,0,185,248390,248390,4194304,256,0,0,12,24,70144,0x7f31b9407980,0x7f30b8d9bec0,477235009885555,477235010426986,477235011263629,477235011327554
63,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 12u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,188,248390,248390,4194304,256,0,0,12,24,71616,0x7f31b9407800,0x7f30b8d9bf00,477235011339103,477235011896272,477235012789716,477235012858801
64,"void benchmark_func<double, 256, 8u, 12u>(double, double*) [clone .kd]",0,0,191,248390,248390,4194304,256,0,0,12,24,72832,0x7f31b9407680,0x7f30b8d9bf40,477235012873410,477235013422999,477235014315323,477235014360438
65,"void benchmark_func<__half2, 256, 8u, 12u>(__half2, __half2*) [clone .kd]",0,0,194,248390,248390,4194304,256,0,0,8,24,74048,0x7f31bb6a1500,0x7f30b8d9bf80,477235014371178,477235014948606,477235015832930,477235015873626
66,"void benchmark_func<int, 256, 8u, 12u>(int, int*) [clone .kd]",0,0,197,248390,248390,4194304,256,0,0,12,24,75776,0x7f31bb6a1380,0x7f30b8d9bfc0,477235015883676,477235016466213,477235017333737,477235017401683
67,"void benchmark_func<float, 256, 8u, 13u>(float, float*) [clone .kd]",0,0,200,248390,248390,4194304,256,0,0,12,24,76992,0x7f31bb6a1200,0x7f30b8d9c000,477235017418933,477235017967180,477235018823664,477235018889081
68,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 13u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,203,248390,248390,4194304,256,0,0,12,24,78464,0x7f31bb6a1080,0x7f30b8d9c040,477235018900201,477235019457107,477235020347831,477235020418158
69,"void benchmark_func<double, 256, 8u, 13u>(double, double*) [clone .kd]",0,0,206,248390,248390,4194304,256,0,0,12,24,79936,0x7f31b9407f00,0x7f30b8d9c080,477235020427688,477235020980633,477235021876317,477235021943585
70,"void benchmark_func<__half2, 256, 8u, 13u>(__half2, __half2*) [clone .kd]",0,0,209,248390,248390,4194304,256,0,0,8,24,81408,0x7f31b9407d80,0x7f30b8d9c0c0,477235021954345,477235022508960,477235023385284,477235023453183
71,"void benchmark_func<int, 256, 8u, 13u>(int, int*) [clone .kd]",0,0,212,248390,248390,4194304,256,0,0,12,24,83136,0x7f31b9407c00,0x7f30b8d9c100,477235023462333,477235024020167,477235024890891,477235024957921
72,"void benchmark_func<float, 256, 8u, 14u>(float, float*) [clone .kd]",0,0,215,248390,248390,4194304,256,0,0,12,24,84352,0x7f31b9407a80,0x7f30b8d9c140,477235024990580,477235025524654,477235026377138,477235026449518
73,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 14u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,218,248390,248390,4194304,256,0,0,12,24,85824,0x7f31b9407900,0x7f30b8d9c180,477235026458868,477235027010261,477235027892665,477235027957586
74,"void benchmark_func<double, 256, 8u, 14u>(double, double*) [clone .kd]",0,0,221,248390,248390,4194304,256,0,0,12,24,87296,0x7f31b9407780,0x7f30b8d9c1c0,477235027968136,477235028525468,477235029415712,477235029483443
75,"void benchmark_func<__half2, 256, 8u, 14u>(__half2, __half2*) [clone .kd]",0,0,224,248390,248390,4194304,256,0,0,12,24,88768,0x7f31b9407600,0x7f30b8d9c200,477235029493283,477235030050275,477235030922599,477235030990210
76,"void benchmark_func<int, 256, 8u, 14u>(int, int*) [clone .kd]",0,0,227,248390,248390,4194304,256,0,0,12,24,90752,0x7f31bb6a1480,0x7f30b8d9c240,477235031000810,477235031556201,477235032429965,477235032498958
77,"void benchmark_func<float, 256, 8u, 15u>(float, float*) [clone .kd]",0,0,230,248390,248390,4194304,256,0,0,12,24,91968,0x7f31bb6a1300,0x7f30b8d9c280,477235032516007,477235033063088,477235033930932,477235033996085
78,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 15u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,233,248390,248390,4194304,256,0,0,12,24,93440,0x7f31bb6a1180,0x7f30b8d9c2c0,477235034005875,477235034563735,477235035459579,477235035524953
79,"void benchmark_func<double, 256, 8u, 15u>(double, double*) [clone .kd]",0,0,236,248390,248390,4194304,256,0,0,12,24,94912,0x7f31bb6a1000,0x7f30b8d9c300,477235035534842,477235036092062,477235036994946,477235037063120
80,"void benchmark_func<__half2, 256, 8u, 15u>(__half2, __half2*) [clone .kd]",0,0,239,248390,248390,4194304,256,0,0,12,24,96384,0x7f31b9407e80,0x7f30b8d9c340,477235037073459,477235037627749,477235038495113,477235038559877
81,"void benchmark_func<int, 256, 8u, 15u>(int, int*) [clone .kd]",0,0,242,248390,248390,4194304,256,0,0,12,24,98368,0x7f31b9407d00,0x7f30b8d9c380,477235038570177,477235039128556,477235040002000,477235040053795
82,"void benchmark_func<float, 256, 8u, 16u>(float, float*) [clone .kd]",0,0,245,248390,248390,4194304,256,0,0,12,24,99584,0x7f31b9407b80,0x7f30b8d9c3c0,477235040071065,477235040636679,477235041495883,477235041569003
83,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 16u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,248,248390,248390,4194304,256,0,0,12,24,101312,0x7f31b9407a00,0x7f30b8d9c400,477235041579512,477235042129485,477235043024369,477235043086830
84,"void benchmark_func<double, 256, 8u, 16u>(double, double*) [clone .kd]",0,0,251,248390,248390,4194304,256,0,0,12,24,102784,0x7f31b9407880,0x7f30b8d9c440,477235043097970,477235043657812,477235044564696,477235044633647
85,"void benchmark_func<__half2, 256, 8u, 16u>(__half2, __half2*) [clone .kd]",0,0,254,248390,248390,4194304,256,0,0,12,24,104256,0x7f31b9407700,0x7f30b8d9c480,477235044643906,477235045198139,477235046063582,477235046105995
86,"void benchmark_func<int, 256, 8u, 16u>(int, int*) [clone .kd]",0,0,257,248390,248390,4194304,256,0,0,12,24,106240,0x7f31bb6a1580,0x7f30b8d9c4c0,477235046115655,477235046697345,477235047578629,477235047641552
87,"void benchmark_func<float, 256, 8u, 17u>(float, float*) [clone .kd]",0,0,260,248390,248390,4194304,256,0,0,12,24,107712,0x7f31bb6a1400,0x7f30b8d9c500,477235047657712,477235048211912,477235049083116,477235049147510
88,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 17u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,263,248390,248390,4194304,256,0,0,16,24,109440,0x7f31bb6a1280,0x7f30b8d9c540,477235049160119,477235049716399,477235050605843,477235050671407
89,"void benchmark_func<double, 256, 8u, 17u>(double, double*) [clone .kd]",0,0,266,248390,248390,4194304,256,0,0,16,24,111168,0x7f31bb6a1100,0x7f30b8d9c580,477235050682757,477235051239445,477235052170970,477235052239313
90,"void benchmark_func<__half2, 256, 8u, 17u>(__half2, __half2*) [clone .kd]",0,0,269,248390,248390,4194304,256,0,0,8,24,112896,0x7f31b9407f80,0x7f30b8d9c5c0,477235052249103,477235052804092,477235053672576,477235053738891
91,"void benchmark_func<int, 256, 8u, 17u>(int, int*) [clone .kd]",0,0,272,248390,248390,4194304,256,0,0,12,24,115136,0x7f31b9407e00,0x7f30b8d9c600,477235053749021,477235054305699,477235055188423,477235055254178
92,"void benchmark_func<float, 256, 8u, 18u>(float, float*) [clone .kd]",0,0,275,248390,248390,4194304,256,0,0,12,24,116608,0x7f31b9407c80,0x7f30b8d9c640,477235055271308,477235055821066,477235056690030,477235056755976
93,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 18u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,278,248390,248390,4194304,256,0,0,16,24,118336,0x7f31b9407b00,0x7f30b8d9c680,477235056769026,477235057323472,477235058228276,477235058294653
94,"void benchmark_func<double, 256, 8u, 18u>(double, double*) [clone .kd]",0,0,281,248390,248390,4194304,256,0,0,16,24,120064,0x7f31b9407980,0x7f30b8d9c6c0,477235058306283,477235058861239,477235059762043,477235059827920
95,"void benchmark_func<__half2, 256, 8u, 18u>(__half2, __half2*) [clone .kd]",0,0,284,248390,248390,4194304,256,0,0,12,24,121792,0x7f31b9407800,0x7f30b8d9c700,477235059838440,477235060396126,477235061268290,477235061338817
96,"void benchmark_func<int, 256, 8u, 18u>(int, int*) [clone .kd]",0,0,287,248390,248390,4194304,256,0,0,12,24,124032,0x7f31b9407680,0x7f30b8d9c740,477235061349287,477235061901733,477235062782057,477235062846695
97,"void benchmark_func<float, 256, 8u, 20u>(float, float*) [clone .kd]",0,0,290,248390,248390,4194304,256,0,0,12,24,125504,0x7f31bb6a1500,0x7f30b8d9c780,477235062863344,477235063415659,477235064278223,477235064344922
98,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 20u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,293,248390,248390,4194304,256,0,0,12,24,127488,0x7f31bb6a1380,0x7f30b8d9c7c0,477235064356412,477235064911506,477235065815350,477235065857190
99,"void benchmark_func<double, 256, 8u, 20u>(double, double*) [clone .kd]",0,0,296,248390,248390,4194304,256,0,0,12,24,129216,0x7f31bb6a1200,0x7f30b8d9c800,477235065867229,477235066448633,477235067359677,477235067397776
100,"void benchmark_func<__half2, 256, 8u, 20u>(__half2, __half2*) [clone .kd]",0,0,299,248390,248390,4194304,256,0,0,12,24,130944,0x7f31bb6a1080,0x7f30b8d9c840,477235067406376,477235067995200,477235068862884,477235068906094
101,"void benchmark_func<int, 256, 8u, 20u>(int, int*) [clone .kd]",0,0,302,248390,248390,4194304,256,0,0,12,24,133440,0x7f31b9407f00,0x7f30b8d9c880,477235068917684,477235069499206,477235070374730,477235070416262
102,"void benchmark_func<float, 256, 8u, 22u>(float, float*) [clone .kd]",0,0,305,248390,248390,4194304,256,0,0,12,24,134912,0x7f31b9407d80,0x7f30b8d9c8c0,477235070433061,477235071007853,477235071874897,477235071916299
103,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 22u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,308,248390,248390,4194304,256,0,0,12,24,136896,0x7f31b9407c00,0x7f30b8d9c900,477235071927129,477235072509140,477235073441624,477235073508915
104,"void benchmark_func<double, 256, 8u, 22u>(double, double*) [clone .kd]",0,0,311,248390,248390,4194304,256,0,0,12,24,138880,0x7f31b9407a80,0x7f30b8d9c940,477235073519355,477235074074267,477235074995871,477235075063742
105,"void benchmark_func<__half2, 256, 8u, 22u>(__half2, __half2*) [clone .kd]",0,0,314,248390,248390,4194304,256,0,0,12,24,140864,0x7f31b9407900,0x7f30b8d9c980,477235075074581,477235075629474,477235076499237,477235076569989
106,"void benchmark_func<int, 256, 8u, 22u>(int, int*) [clone .kd]",0,0,317,248390,248390,4194304,256,0,0,12,24,143616,0x7f31b9407780,0x7f30b8d9c9c0,477235076579609,477235077132520,477235078014924,477235078086497
107,"void benchmark_func<float, 256, 8u, 24u>(float, float*) [clone .kd]",0,0,320,248390,248390,4194304,256,0,0,12,24,145344,0x7f31b9407600,0x7f30b8d9ca00,477235078103826,477235078647887,477235079524851,477235079590034
108,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 24u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,323,248390,248390,4194304,256,0,0,12,24,147584,0x7f31bb6a1480,0x7f30b8d9ca40,477235079602184,477235080158294,477235081089978,477235081157571
109,"void benchmark_func<double, 256, 8u, 24u>(double, double*) [clone .kd]",0,0,326,248390,248390,4194304,256,0,0,12,24,149568,0x7f31bb6a1300,0x7f30b8d9ca80,477235081167140,477235081724221,477235082655905,477235082722917
110,"void benchmark_func<__half2, 256, 8u, 24u>(__half2, __half2*) [clone .kd]",0,0,329,248390,248390,4194304,256,0,0,12,24,151552,0x7f31bb6a1180,0x7f30b8d9cac0,477235082733217,477235083289188,477235084157831,477235084226075
