Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_fillBufferAligned.kd",0,0,0,248390,248390,33554432,256,0,0,4,32,2560,0x0,0x7f30b8f948c0,477234913784953,477234913815080,477234916059252,477234916174422
1,"void benchmark_func<short, 256, 8u, 0u>(short, short*) [clone .kd]",0,0,2,248390,248390,32768,256,0,0,12,24,13888,0x0,0x7f30b8d9af80,477234920891091,477234920908396,477234921511439,477234921578186
2,"void benchmark_func<float, 256, 8u, 0u>(float, float*) [clone .kd]",0,0,5,248390,248390,4194304,256,0,0,12,24,14336,0x7f31bb6a1380,0x7f30b8d9afc0,477234921537837,477234922144882,477234922912246,477234923020905
3,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 0u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,8,248390,248390,4194304,256,0,0,16,24,15040,0x7f31bb6a1200,0x7f30b8d9b000,477234923038794,477234923545210,477234924389694,477234924480213
4,"void benchmark_func<double, 256, 8u, 0u>(double, double*) [clone .kd]",0,0,11,248390,248390,4194304,256,0,0,16,24,15488,0x7f31bb6a1080,0x7f30b8d9b040,477234924490303,477234925023937,477234925865702,477234925955762
5,"void benchmark_func<__half2, 256, 8u, 0u>(__half2, __half2*) [clone .kd]",0,0,14,248390,248390,4194304,256,0,0,12,24,15936,0x7f31b9407f00,0x7f30b8d9b080,477234925965891,477234926498665,477234927242669,477234927306913
6,"void benchmark_func<int, 256, 8u, 0u>(int, int*) [clone .kd]",0,0,17,248390,248390,4194304,256,0,0,12,24,16384,0x7f31b9407d80,0x7f30b8d9b0c0,477234927318902,477234927875152,477234928614836,477234928705133
7,"void benchmark_func<float, 256, 8u, 1u>(float, float*) [clone .kd]",0,0,20,248390,248390,4194304,256,0,0,12,24,17088,0x7f31b9407c00,0x7f30b8d9b100,477234928732152,477234929248119,477234929993083,477234930081843
8,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 1u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,23,248390,248390,4194304,256,0,0,16,24,17792,0x7f31b9407a80,0x7f30b8d9b140,477234930091383,477234930626046,477234931575011,477234931671999
9,"void benchmark_func<double, 256, 8u, 1u>(double, double*) [clone .kd]",0,0,26,248390,248390,4194304,256,0,0,16,24,18496,0x7f31b9407900,0x7f30b8d9b180,477234931681379,477234932208934,477234933091819,477234933182806
10,"void benchmark_func<__half2, 256, 8u, 1u>(__half2, __half2*) [clone .kd]",0,0,29,248390,248390,4194304,256,0,0,16,24,19200,0x7f31b9407780,0x7f30b8d9b1c0,477234933192846,477234933725742,477234934472466,477234934560517
11,"void benchmark_func<int, 256, 8u, 1u>(int, int*) [clone .kd]",0,0,32,248390,248390,4194304,256,0,0,16,24,19904,0x7f31b9407600,0x7f30b8d9b200,477234934571136,477234935106229,477234935845113,477234935932417
12,"void benchmark_func<float, 256, 8u, 2u>(float, float*) [clone .kd]",0,0,35,248390,248390,4194304,256,0,0,12,24,20608,0x7f31bb6a1480,0x7f30b8d9b240,477234935949367,477234936478076,477234937219520,477234937307278
13,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 2u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,38,248390,248390,4194304,256,0,0,16,24,21312,0x7f31bb6a1300,0x7f30b8d9b280,477234937318407,477234937851684,477234938743688,477234938831485
14,"void benchmark_func<double, 256, 8u, 2u>(double, double*) [clone .kd]",0,0,41,248390,248390,4194304,256,0,0,16,24,22016,0x7f31bb6a1180,0x7f30b8d9b2c0,477234938840565,477234939378891,477234940275696,477234940371352
15,"void benchmark_func<__half2, 256, 8u, 2u>(__half2, __half2*) [clone .kd]",0,0,44,248390,248390,4194304,256,0,0,16,24,22720,0x7f31bb6a1000,0x7f30b8d9b300,477234940381351,477234940910899,477234941663223,477234941751102
16,"void benchmark_func<int, 256, 8u, 2u>(int, int*) [clone .kd]",0,0,47,248390,248390,4194304,256,0,0,12,24,23424,0x7f31b9407e80,0x7f30b8d9b340,477234941761101,477234942296506,477234943057950,477234943122732
17,"void benchmark_func<float, 256, 8u, 3u>(float, float*) [clone .kd]",0,0,50,248390,248390,4194304,256,0,0,12,24,24128,0x7f31b9407d00,0x7f30b8d9b380,477234943143671,477234943691554,477234944429637,477234944497912
18,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 3u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,53,248390,248390,4194304,256,0,0,16,24,24832,0x7f31b9407b80,0x7f30b8d9b3c0,477234944508412,477234945063881,477234945992846,477234946035729
19,"void benchmark_func<double, 256, 8u, 3u>(double, double*) [clone .kd]",0,0,56,248390,248390,4194304,256,0,0,16,24,25536,0x7f31b9407a00,0x7f30b8d9b400,477234946045919,477234946626609,477234947518613,477234947584016
20,"void benchmark_func<__half2, 256, 8u, 3u>(__half2, __half2*) [clone .kd]",0,0,59,248390,248390,4194304,256,0,0,12,24,26240,0x7f31b9407880,0x7f30b8d9b440,477234947597086,477234948152217,477234948909661,477234948981456
21,"void benchmark_func<int, 256, 8u, 3u>(int, int*) [clone .kd]",0,0,62,248390,248390,4194304,256,0,0,12,24,26944,0x7f31b9407700,0x7f30b8d9b480,477234949017105,477234949542304,477234950338308,477234950403045
22,"void benchmark_func<float, 256, 8u, 4u>(float, float*) [clone .kd]",0,0,65,248390,248390,4194304,256,0,0,12,24,27648,0x7f31bb6a1580,0x7f30b8d9b4c0,477234950440744,477234950972071,477234951733835,477234951795445
23,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 4u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,68,248390,248390,4194304,256,0,0,16,24,28608,0x7f31bb6a1400,0x7f30b8d9b500,477234951810025,477234952367119,477234953245043,477234953286613
24,"void benchmark_func<double, 256, 8u, 4u>(double, double*) [clone .kd]",0,0,71,248390,248390,4194304,256,0,0,16,24,29312,0x7f31bb6a1280,0x7f30b8d9b540,477234953301653,477234953877686,477234954751611,477234954792811
25,"void benchmark_func<__half2, 256, 8u, 4u>(__half2, __half2*) [clone .kd]",0,0,74,248390,248390,4194304,256,0,0,12,24,30016,0x7f31bb6a1100,0x7f30b8d9b580,477234954810580,477234955385374,477234956146818,477234956215560
26,"void benchmark_func<int, 256, 8u, 4u>(int, int*) [clone .kd]",0,0,77,248390,248390,4194304,256,0,0,8,24,30976,0x7f31b9407f80,0x7f30b8d9b5c0,477234956230800,477234956780581,477234957612106,477234957658269
27,"void benchmark_func<float, 256, 8u, 5u>(float, float*) [clone .kd]",0,0,80,248390,248390,4194304,256,0,0,12,24,31680,0x7f31b9407e00,0x7f30b8d9b600,477234957675759,477234958246189,477234959000113,477234959041139
28,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 5u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,83,248390,248390,4194304,256,0,0,16,24,32640,0x7f31b9407c80,0x7f30b8d9b640,477234959052049,477234959633716,477234960508281,477234960552567
29,"void benchmark_func<double, 256, 8u, 5u>(double, double*) [clone .kd]",0,0,86,248390,248390,4194304,256,0,0,12,24,33600,0x7f31b9407b00,0x7f30b8d9b680,477234960561737,477234961142684,477234962012448,477234962052105
30,"void benchmark_func<__half2, 256, 8u, 5u>(__half2, __half2*) [clone .kd]",0,0,89,248390,248390,4194304,256,0,0,12,24,34560,0x7f31b9407980,0x7f30b8d9b6c0,477234962064144,477234962645572,477234963428776,477234963469874
31,"void benchmark_func<int, 256, 8u, 5u>(int, int*) [clone .kd]",0,0,92,248390,248390,4194304,256,0,0,8,24,35520,0x7f31b9407800,0x7f30b8d9b700,477234963480244,477234964062379,477234964900623,477234964941543
32,"void benchmark_func<float, 256, 8u, 6u>(float, float*) [clone .kd]",0,0,95,248390,248390,4194304,256,0,0,12,24,36224,0x7f31b9407680,0x7f30b8d9b740,477234964961272,477234965533907,477234966316631,477234966356742
