Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,SQ_INSTS_VMEM,SQ_INST_LEVEL_VMEM,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
23,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 4u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,68,248167,248167,4194304,256,0,0,16,24,28608,0x7fc114adc400,0x7fc01219b500,524288,17410197,1949935116,477232919017333,477232918965643,477232920499410,477232920537830
24,"void benchmark_func<double, 256, 8u, 4u>(double, double*) [clone .kd]",0,0,71,248167,248167,4194304,256,0,0,16,24,29312,0x7fc114adc280,0x7fc01219b540,524288,17084388,1913446916,477232920551759,477232920499410,477232922020536,477232922034277
25,"void benchmark_func<__half2, 256, 8u, 4u>(__half2, __half2*) [clone .kd]",0,0,74,248167,248167,4194304,256,0,0,12,24,30016,0x7fc114adc100,0x7fc01219b580,524288,21146560,2368350956,477232922060987,477232922020536,477232923445982,477232923482116
26,"void benchmark_func<int, 256, 8u, 4u>(int, int*) [clone .kd]",0,0,77,248167,248167,4194304,256,0,0,8,24,30976,0x7fc11282df80,0x7fc01219b5c0,524288,27100018,3035182064,477232923496086,477232923445982,477232924918629,477232924957274
27,"void benchmark_func<float, 256, 8u, 5u>(float, float*) [clone .kd]",0,0,80,248167,248167,4194304,256,0,0,12,24,31680,0x7fc11282de00,0x7fc01219b600,524288,18495680,2071499500,477232924979264,477232924918629,477232926933038,477232926971111
28,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 5u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,83,248167,248167,4194304,256,0,0,16,24,32640,0x7fc11282dc80,0x7fc01219b640,524288,17502556,1960297784,477232926984461,477232926933038,477232928459764,477232928498708
29,"void benchmark_func<double, 256, 8u, 5u>(double, double*) [clone .kd]",0,0,86,248167,248167,4194304,256,0,0,12,24,33600,0x7fc11282db00,0x7fc01219b680,524288,18090267,2026048304,477232928512418,477232928459764,477232930011451,477232930048035
30,"void benchmark_func<__half2, 256, 8u, 5u>(__half2, __half2*) [clone .kd]",0,0,89,248167,248167,4194304,256,0,0,12,24,34560,0x7fc11282d980,0x7fc01219b6c0,524288,23428683,2624071252,477232930062494,477232930011451,477232931454817,477232931496364
31,"void benchmark_func<int, 256, 8u, 5u>(int, int*) [clone .kd]",0,0,92,248167,248167,4194304,256,0,0,8,24,35520,0x7fc11282d800,0x7fc01219b700,524288,28359298,3176162124,477232931509883,477232931454817,477232932957384,477232932993541
32,"void benchmark_func<float, 256, 8u, 6u>(float, float*) [clone .kd]",0,0,95,248167,248167,4194304,256,0,0,12,24,36224,0x7fc11282d680,0x7fc01219b740,524288,22539700,2524420780,477232933015411,477232932957384,477232934387630,477232934425731
