Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,CPC_ME1_BUSY_FOR_PACKET_DECODE,SQ_CYCLES,SQ_WAVES,SQ_WAVE_CYCLES,SQ_BUSY_CYCLES,SQ_LEVEL_WAVES,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
74,"void benchmark_func<double, 256, 8u, 14u>(double, double*) [clone .kd]",0,0,221,246845,246845,4194304,256,0,0,12,24,87296,0x7f9f7b44d780,0x7f9e7ad9c1c0,1504126,1504126,1017478,12033016,65536,217107654,3963682,0,870195028,477210455011311,477210454933619,477210456495706,477210456561628
75,"void benchmark_func<__half2, 256, 8u, 14u>(__half2, __half2*) [clone .kd]",0,0,224,246845,246845,4194304,256,0,0,12,24,88768,0x7f9f7b44d600,0x7f9e7ad9c200,1473403,1473403,1017199,11787232,65536,195992202,3718104,0,785726924,477210456576348,477210456495706,477210458033473,477210458096645
76,"void benchmark_func<int, 256, 8u, 14u>(int, int*) [clone .kd]",0,0,227,246845,246845,4194304,256,0,0,12,24,90752,0x7f9f7d6ea480,0x7f9e7ad9c240,1464337,1464337,1016493,11714704,65536,214914873,3674387,0,861454208,477210458110285,477210458033473,477210459569479,477210459631633
77,"void benchmark_func<float, 256, 8u, 15u>(float, float*) [clone .kd]",0,0,230,246845,246845,4194304,256,0,0,12,24,91968,0x7f9f7d6ea300,0x7f9e7ad9c280,1425376,1425376,1016029,11403016,65536,184487128,3333840,0,739736500,477210459652522,477210459569479,477210461078766,477210461144070
78,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 15u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,233,246845,246845,4194304,256,0,0,12,24,93440,0x7f9f7d6ea180,0x7f9e7ad9c2c0,1471132,1471132,1016816,11769064,65536,222808449,3717757,0,892997088,477210461158260,477210461078766,477210462621492,477210462689667
79,"void benchmark_func<double, 256, 8u, 15u>(double, double*) [clone .kd]",0,0,236,246845,246845,4194304,256,0,0,12,24,94912,0x7f9f7d6ea000,0x7f9e7ad9c300,1500482,1500482,1017246,12003864,65536,240662323,3956789,0,964415448,477210462703597,477210462621492,477210464183259,477210464248823
80,"void benchmark_func<__half2, 256, 8u, 15u>(__half2, __half2*) [clone .kd]",0,0,239,246845,246845,4194304,256,0,0,12,24,96384,0x7f9f7b44de80,0x7f9e7ad9c340,1465977,1465977,1017160,11727824,65536,194340358,3674466,0,779139604,477210464261863,477210464183259,477210465719106,477210465784490
81,"void benchmark_func<int, 256, 8u, 15u>(int, int*) [clone .kd]",0,0,242,246845,246845,4194304,256,0,0,12,24,98368,0x7f9f7b44dd00,0x7f9e7ad9c380,1467663,1467663,1016395,11741312,65536,220526121,3702795,0,883897604,477210465797770,477210465719083,477210467257809,477210467320407
82,"void benchmark_func<float, 256, 8u, 16u>(float, float*) [clone .kd]",0,0,245,246845,246845,4194304,256,0,0,12,24,99584,0x7f9f7b44db80,0x7f9e7ad9c3c0,1441448,1441448,1016021,11531592,65536,185034557,3460761,0,741920668,477210467341267,477210467257809,477210468779096,477210468844324
83,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 16u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,248,246845,246845,4194304,256,0,0,12,24,101312,0x7f9f7b44da00,0x7f9e7ad9c400,1501438,1501438,1017310,12011512,65536,217583311,3936803,0,872091124,477210468857454,477210468779096,477210470339102,477210470402161
84,"void benchmark_func<double, 256, 8u, 16u>(double, double*) [clone .kd]",0,0,251,246845,246845,4194304,256,0,0,12,24,102784,0x7f9f7b44d880,0x7f9e7ad9c440,1527542,1527542,1017108,12220344,65536,219440496,4194697,0,879517164,477210470415661,477210470339102,477210471914949,477210471982927
85,"void benchmark_func<__half2, 256, 8u, 16u>(__half2, __half2*) [clone .kd]",0,0,254,246845,246845,4194304,256,0,0,12,24,104256,0x7f9f7b44d700,0x7f9e7ad9c480,1447893,1447893,1017647,11583152,65536,191896975,3513086,0,769375592,477210471995567,477210471914949,477210473438316,477210473501064
86,"void benchmark_func<int, 256, 8u, 16u>(int, int*) [clone .kd]",0,0,257,246845,246845,4194304,256,0,0,12,24,106240,0x7f9f7d6ea580,0x7f9e7ad9c4c0,1469995,1469995,1016460,11759968,65536,226308241,3722549,0,907033112,477210473513004,477210473438316,477210474980082,477210475042941
87,"void benchmark_func<float, 256, 8u, 17u>(float, float*) [clone .kd]",0,0,260,246845,246845,4194304,256,0,0,12,24,107712,0x7f9f7d6ea400,0x7f9e7ad9c500,1448932,1448932,1016411,11591464,65536,190946114,3512258,0,765585300,477210475062891,477210474980082,477210476506169,477210476570578
88,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 17u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,263,246845,246845,4194304,256,0,0,16,24,109440,0x7f9f7d6ea280,0x7f9e7ad9c540,1483447,1483447,1017726,11867584,65536,223575452,3833765,0,896065128,477210476583428,477210476506169,477210478056575,477210478119735
89,"void benchmark_func<double, 256, 8u, 17u>(double, double*) [clone .kd]",0,0,266,246845,246845,4194304,256,0,0,16,24,111168,0x7f9f7d6ea100,0x7f9e7ad9c580,1522800,1522800,1017609,12182408,65536,249537438,4137530,0,999898564,477210478132195,477210478056575,477210479633222,477210479695332
90,"void benchmark_func<__half2, 256, 8u, 17u>(__half2, __half2*) [clone .kd]",0,0,269,246845,246845,4194304,256,0,0,8,24,112896,0x7f9f7b44df80,0x7f9e7ad9c5c0,1453528,1453528,1016879,11628232,65536,195915930,3580686,0,785466660,477210479708031,477210479633222,477210481160109,477210481223189
91,"void benchmark_func<int, 256, 8u, 17u>(int, int*) [clone .kd]",0,0,272,246845,246845,4194304,256,0,0,12,24,115136,0x7f9f7b44de00,0x7f9e7ad9c600,1475702,1475702,1017787,11805624,65536,226415304,3755362,0,907458148,477210481236189,477210481160109,477210482703795,477210482765716
92,"void benchmark_func<float, 256, 8u, 18u>(float, float*) [clone .kd]",0,0,275,246845,246845,4194304,256,0,0,12,24,116608,0x7f9f7b44dc80,0x7f9e7ad9c640,1465557,1465557,1016273,11724464,65536,191794280,3682264,0,768952024,477210482785935,477210482703795,477210484238362,477210484309723
93,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 18u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,278,246845,246845,4194304,256,0,0,16,24,118336,0x7f9f7b44db00,0x7f9e7ad9c680,1490297,1490297,1016790,11922384,65536,235428100,3884034,0,943489212,477210484323202,477210484238362,477210485793249,477210485857699
94,"void benchmark_func<double, 256, 8u, 18u>(double, double*) [clone .kd]",0,0,281,246845,246845,4194304,256,0,0,16,24,120064,0x7f9f7b44d980,0x7f9e7ad9c6c0,1510566,1510566,1018484,12084536,65536,229547430,4049000,0,919950612,477210485870239,477210485793249,477210487360135,477210487422686
95,"void benchmark_func<__half2, 256, 8u, 18u>(__half2, __half2*) [clone .kd]",0,0,284,246845,246845,4194304,256,0,0,12,24,121792,0x7f9f7b44d800,0x7f9e7ad9c700,1479187,1479187,1018983,11833504,65536,166376938,3765734,0,667310984,477210487435855,477210487360135,477210488902862,477210488965842
96,"void benchmark_func<int, 256, 8u, 18u>(int, int*) [clone .kd]",0,0,287,246845,246845,4194304,256,0,0,12,24,124032,0x7f9f7b44d680,0x7f9e7ad9c740,1488783,1488783,1021265,11910272,65536,231566781,3864616,0,928060620,477210488978602,477210488902862,477210490455029,477210490518449
97,"void benchmark_func<float, 256, 8u, 20u>(float, float*) [clone .kd]",0,0,290,246845,246845,4194304,256,0,0,12,24,125504,0x7f9f7d6ea500,0x7f9e7ad9c780,1456448,1456448,1016326,11651592,65536,192155753,3636089,0,770418732,477210490539529,477210490455029,477210491986395,477210492025247
98,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 20u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,293,246845,246845,4194304,256,0,0,12,24,127488,0x7f9f7d6ea380,0x7f9e7ad9c7c0,1507577,1507577,1017606,12060624,65536,262981512,4053325,0,1053692900,477210492039646,477210491986395,477210493550882,477210493615482
99,"void benchmark_func<double, 256, 8u, 20u>(double, double*) [clone .kd]",0,0,296,246845,246845,4194304,256,0,0,12,24,129216,0x7f9f7d6ea200,0x7f9e7ad9c800,1510211,1510211,1017439,12081696,65536,255823547,4071319,0,1025060472,477210493628362,477210493550882,477210495118569,477210495183979
100,"void benchmark_func<__half2, 256, 8u, 20u>(__half2, __half2*) [clone .kd]",0,0,299,246845,246845,4194304,256,0,0,12,24,130944,0x7f9f7d6ea080,0x7f9e7ad9c840,1449686,1449686,1017086,11597496,65536,191729258,3551662,0,768715972,477210495197078,477210495118569,477210496648015,477210496717976
101,"void benchmark_func<int, 256, 8u, 20u>(int, int*) [clone .kd]",0,0,302,246845,246845,4194304,256,0,0,12,24,133440,0x7f9f7b44df00,0x7f9e7ad9c880,1461379,1461379,1016863,11691040,65536,227828376,3663520,0,913114492,477210496730656,477210496648015,477210498183542,477210498248393
102,"void benchmark_func<float, 256, 8u, 22u>(float, float*) [clone .kd]",0,0,305,246845,246845,4194304,256,0,0,12,24,134912,0x7f9f7b44dd80,0x7f9e7ad9c8c0,1461691,1461691,1017881,11693536,65536,199929025,3642648,0,801505112,477210498268863,477210498183542,477210499717468,477210499782410
103,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 22u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,308,246845,246845,4194304,256,0,0,12,24,136896,0x7f9f7b44dc00,0x7f9e7ad9c900,1527638,1527638,1017434,12221112,65536,266133695,4202565,0,1066306996,477210499795610,477210499717468,477210501295075,477210501359647
104,"void benchmark_func<double, 256, 8u, 22u>(double, double*) [clone .kd]",0,0,311,246845,246845,4194304,256,0,0,12,24,138880,0x7f9f7b44da80,0x7f9e7ad9c940,1551605,1551605,1018579,12412848,65536,230942915,4355975,0,925545408,477210501373146,477210501295075,477210502885802,477210502951032
105,"void benchmark_func<__half2, 256, 8u, 22u>(__half2, __half2*) [clone .kd]",0,0,314,246845,246845,4194304,256,0,0,12,24,140864,0x7f9f7b44d900,0x7f9e7ad9c980,1448329,1448329,1016798,11586640,65536,208320326,3565827,0,835077892,477210502963962,477210502885802,477210504412849,477210504478149
106,"void benchmark_func<int, 256, 8u, 22u>(int, int*) [clone .kd]",0,0,317,246845,246845,4194304,256,0,0,12,24,143616,0x7f9f7b44d780,0x7f9e7ad9c9c0,1464517,1464517,1017099,11716144,65536,232085975,3709891,0,930143204,477210504491139,477210504412849,477210505951575,477210506014896
107,"void benchmark_func<float, 256, 8u, 24u>(float, float*) [clone .kd]",0,0,320,246845,246845,4194304,256,0,0,12,24,145344,0x7f9f7b44d600,0x7f9e7ad9ca00,1492163,1492163,1016181,11937312,65536,185541248,3896258,0,743968184,477210506035836,477210505951575,477210507502622,477210507571333
108,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 24u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,323,246845,246845,4194304,256,0,0,12,24,147584,0x7f9f7d6ea480,0x7f9e7ad9ca40,1541449,1541449,1017404,12331600,65536,257236788,4302623,0,1030723296,477210507583223,477210507502622,477210509088549,477210509158209
109,"void benchmark_func<double, 256, 8u, 24u>(double, double*) [clone .kd]",0,0,326,246845,246845,4194304,256,0,0,12,24,149568,0x7f9f7d6ea300,0x7f9e7ad9ca80,1550482,1550482,1018916,12403864,65536,275590185,4383666,0,1104136232,477210509171529,477210509088549,477210510680715,477210510745915
110,"void benchmark_func<__half2, 256, 8u, 24u>(__half2, __half2*) [clone .kd]",0,0,329,246845,246845,4194304,256,0,0,12,24,151552,0x7f9f7d6ea180,0x7f9e7ad9cac0,1463597,1463597,1016515,11708784,65536,203207789,3657290,0,814619876,477210510759494,477210510680715,477210512215442,477210512281092
111,"void benchmark_func<int, 256, 8u, 24u>(int, int*) [clone .kd]",0,0,332,246845,246845,4194304,256,0,0,12,24,154304,0x7f9f7d6ea000,0x7f9e7ad9cb00,1477501,1477501,1017930,11820016,65536,236378803,3793540,0,947317520,477210512293971,477210512215442,477210513764729,477210513834088
112,"void benchmark_func<float, 256, 8u, 28u>(float, float*) [clone .kd]",0,0,335,246845,246845,4194304,256,0,0,12,24,156288,0x7f9f7b44de80,0x7f9e7ad9cb40,1448035,1448035,1018156,11584288,65536,202404686,3546902,0,811416436,477210513854848,477210513764729,477210515290655,477210515352636
113,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 28u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,338,246845,246845,4194304,256,0,0,12,24,158784,0x7f9f7b44dd00,0x7f9e7ad9cb80,1611386,1611386,1018369,12891096,65536,287041450,4899884,0,1149937324,477210515364975,477210515290655,477210516918662,477210516985101
114,"void benchmark_func<double, 256, 8u, 28u>(double, double*) [clone .kd]",0,0,341,246845,246845,4194304,256,0,0,12,24,161024,0x7f9f7b44db80,0x7f9e7ad9cbc0,1606143,1606143,1018134,12849152,65536,297486570,4859279,0,1191714624,477210516998320,477210516918662,477210518544749,477210518609056
115,"void benchmark_func<__half2, 256, 8u, 28u>(__half2, __half2*) [clone .kd]",0,0,344,246845,246845,4194304,256,0,0,12,24,163264,0x7f9f7b44da00,0x7f9e7ad9cc00,1470674,1470674,1017853,11765400,65536,215136346,3748776,0,862349720,477210518621476,477210518544749,477210520084116,477210520149403
116,"void benchmark_func<int, 256, 8u, 28u>(int, int*) [clone .kd]",0,0,347,246845,246845,4194304,256,0,0,12,24,166528,0x7f9f7b44d880,0x7f9e7ad9cc40,1475103,1475103,1016914,11800832,65536,238818133,3774377,0,957074728,477210520162543,477210520084116,477210521631962,477210521694870
117,"void benchmark_func<float, 256, 8u, 32u>(float, float*) [clone .kd]",0,0,350,246845,246845,4194304,256,0,0,12,24,168512,0x7f9f7b44d700,0x7f9e7ad9cc80,1486468,1486468,1018220,11891752,65536,193090402,3827015,0,774164748,477210521715459,477210521631962,477210523180929,477210523244387
118,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 32u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,353,246845,246845,4194304,256,0,0,12,24,171264,0x7f9f7d6ea580,0x7f9e7ad9ccc0,1614577,1614577,1017922,12916624,65536,313656230,4914139,0,1256388564,477210523256816,477210523180929,477210524814056,477210524858422
119,"void benchmark_func<double, 256, 8u, 32u>(double, double*) [clone .kd]",0,0,356,246845,246845,4194304,256,0,0,12,24,173760,0x7f9f7d6ea400,0x7f9e7ad9cd00,1643893,1643893,1019363,13151152,65536,311375035,5174000,0,1247272020,477210524871792,477210524814056,477210526463823,477210526505726
120,"void benchmark_func<__half2, 256, 8u, 32u>(__half2, __half2*) [clone .kd]",0,0,359,246845,246845,4194304,256,0,0,12,24,176256,0x7f9f7d6ea280,0x7f9e7ad9cd40,1469129,1469129,1017018,11753040,65536,226383815,3726387,0,907339992,477210526519206,477210526463823,477210528005910,477210528047423
121,"void benchmark_func<int, 256, 8u, 32u>(int, int*) [clone .kd]",0,0,362,246845,246845,4194304,256,0,0,12,24,179776,0x7f9f7d6ea100,0x7f9e7ad9cd80,1500015,1500015,1017274,12000128,65536,244018002,3986496,0,977859424,477210528059523,477210528005884,477210529570850,477210529613960
122,"void benchmark_func<float, 256, 8u, 40u>(float, float*) [clone .kd]",0,0,365,246845,246845,4194304,256,0,0,12,24,182272,0x7f9f7b44df80,0x7f9e7ad9cdc0,1479375,1479375,1020930,11835008,65536,225572279,3773204,0,904094712,477210529635249,477210529570850,477210531120936,477210531161476
123,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 40u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,368,246845,246845,4194304,256,0,0,12,24,185536,0x7f9f7b44de00,0x7f9e7ad9ce00,1690923,1690923,1019287,13527392,65536,333961564,5538924,0,1337624084,477210531174326,477210531120936,477210532799823,477210532843590
124,"void benchmark_func<double, 256, 8u, 40u>(double, double*) [clone .kd]",0,0,371,246845,246845,4194304,256,0,0,12,24,188544,0x7f9f7b44dc80,0x7f9e7ad9ce40,1693017,1693017,1021599,13544144,65536,327454649,5566500,0,1311590056,477210532856650,477210532799823,477210534482710,477210534523814
125,"void benchmark_func<__half2, 256, 8u, 40u>(__half2, __half2*) [clone .kd]",0,0,374,246845,246845,4194304,256,0,0,12,24,191552,0x7f9f7b44db00,0x7f9e7ad9ce80,1459391,1459391,1016512,11675136,65536,229692505,3642381,0,920571200,477210534537124,477210534482710,477210536018077,477210536063431
126,"void benchmark_func<int, 256, 8u, 40u>(int, int*) [clone .kd]",0,0,377,246845,246845,4194304,256,0,0,12,24,195840,0x7f9f7b44d980,0x7f9e7ad9cec0,1591112,1591112,1018306,12728904,65536,275157816,4718893,0,1102419416,477210536076561,477210536018077,477210537643364,477210537682906
127,"void benchmark_func<float, 256, 8u, 48u>(float, float*) [clone .kd]",0,0,380,246845,246845,4194304,256,0,0,12,24,198592,0x7f9f7b44d800,0x7f9e7ad9cf00,1489008,1489008,1017135,11912072,65536,237868133,3883776,0,953276812,477210537704626,477210537643364,477210539198250,477210539242433
128,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 48u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,383,246845,246845,4194304,256,0,0,12,24,202368,0x7f9f7b44d680,0x7f9e7ad9cf40,1731299,1731299,1020028,13850400,65536,361244445,5870547,0,1446771300,477210539255622,477210539198250,477210540906578,477210540948816
129,"void benchmark_func<double, 256, 8u, 48u>(double, double*) [clone .kd]",0,0,386,246845,246845,4194304,256,0,0,12,24,205888,0x7f9f7d6ea500,0x7f9e7ad9cf80,1725973,1725973,1019680,13807792,65536,349590545,5831886,0,1400138360,477210540962146,477210540906578,477210542609785,477210542650830
130,"void benchmark_func<__half2, 256, 8u, 48u>(__half2, __half2*) [clone .kd]",0,0,389,246845,246845,4194304,256,0,0,12,24,209408,0x7f9f7d6ea380,0x7f9e7ad9cfc0,1471714,1471714,1017490,11773720,65536,240176443,3749600,0,962508244,477210542664889,477210542609785,477210544156511,477210544203876
131,"void benchmark_func<int, 256, 8u, 48u>(int, int*) [clone .kd]",0,0,392,246845,246845,4194304,256,0,0,12,24,214464,0x7f9f7d6ea200,0x7f9e7ad9d000,1628599,1628599,1019324,13028800,65536,346689693,5040514,0,1388548552,477210544217496,477210544156511,477210545803398,477210545842641
132,"void benchmark_func<float, 256, 8u, 56u>(float, float*) [clone .kd]",0,0,395,246845,246845,4194304,256,0,0,12,24,217728,0x7f9f7d6ea080,0x7f9e7ad9d040,1494127,1494127,1017104,11953024,65536,243606045,3920397,0,976228444,477210545863461,477210545803398,477210547367565,477210547411987
133,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 56u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,398,246845,246845,4194304,256,0,0,12,24,222016,0x7f9f7b44df00,0x7f9e7ad9d080,1760935,1760935,1021709,14087488,65536,375724950,6111105,0,1504683824,477210547424847,477210547367565,477210549093492,477210549134500
134,"void benchmark_func<double, 256, 8u, 56u>(double, double*) [clone .kd]",0,0,401,246845,246845,4194304,256,0,0,12,24,226048,0x7f9f7b44dd80,0x7f9e7ad9d0c0,1734850,1734850,1021474,13878808,65536,370871430,5923056,0,1485265908,477210549148100,477210549093492,477210550805180,477210550846864
135,"void benchmark_func<__half2, 256, 8u, 56u>(__half2, __half2*) [clone .kd]",0,0,404,246845,246845,4194304,256,0,0,12,24,230080,0x7f9f7b44dc00,0x7f9e7ad9d100,1472813,1472813,1017424,11782512,65536,245885364,3757282,0,985344420,477210550859913,477210550805180,477210552351426,477210552420150
136,"void benchmark_func<int, 256, 8u, 56u>(int, int*) [clone .kd]",0,0,407,246845,246845,4194304,256,0,0,12,24,235904,0x7f9f7b44da80,0x7f9e7ad9d140,1728600,1728600,1020727,13828808,65536,361055714,5839491,0,1446015344,477210552433859,477210552351426,477210554063114,477210554125473
137,"void benchmark_func<float, 256, 8u, 64u>(float, float*) [clone .kd]",0,0,410,246845,246845,4194304,256,0,0,12,24,239424,0x7f9f7b44d900,0x7f9e7ad9d180,1504162,1504162,1019166,12033304,65536,248404159,3982866,0,995419684,477210554147383,477210554063114,477210555628400,477210555696079
138,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 64u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,413,246845,246845,4194304,256,0,0,12,24,244224,0x7f9f7b44d780,0x7f9e7ad9d1c0,1774575,1774575,1021590,14196608,65536,395917745,6203047,0,1585453568,477210555710009,477210555628400,477210557364568,477210557429132
139,"void benchmark_func<double, 256, 8u, 64u>(double, double*) [clone .kd]",0,0,416,246845,246845,4194304,256,0,0,12,24,248768,0x7f9f7b44d600,0x7f9e7ad9d200,1756310,1756310,1021408,14050488,65536,390224080,6084432,0,1562679960,477210557443162,477210557364568,477210559089375,477210559154705
140,"void benchmark_func<__half2, 256, 8u, 64u>(__half2, __half2*) [clone .kd]",0,0,419,246845,246845,4194304,256,0,0,12,24,253312,0x7f9f7d6ea480,0x7f9e7ad9d240,1494087,1494087,1016274,11952704,65536,258178754,3937554,0,1034519480,477210559167355,477210559089375,477210560650822,477210560720011
141,"void benchmark_func<int, 256, 8u, 64u>(int, int*) [clone .kd]",0,0,422,246845,246845,4194304,256,0,0,8,24,255552,0x7f9f7d6ea300,0x7f9e7ad9d280,3975220,3975220,2038471,31801768,65536,1194460902,16770406,0,4779588540,477210560733141,477210560650822,477210563708435,477210563778656
142,"void benchmark_func<float, 256, 8u, 80u>(float, float*) [clone .kd]",0,0,425,246845,246845,4194304,256,0,0,12,24,259840,0x7f9f7d6ea180,0x7f9e7ad9d2c0,1516448,1516448,1016744,12131592,65536,262786540,4107179,0,1052948108,477210563799606,477210563708435,477210565284761,477210565353572
143,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 80u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,428,246845,246845,4194304,256,0,0,12,24,265664,0x7f9f7d6ea000,0x7f9e7ad9d300,1765282,1765282,1020186,14122264,65536,396557583,6150023,0,1588024828,477210565367482,477210565284761,477210567022849,477210567087385
144,"void benchmark_func<double, 256, 8u, 80u>(double, double*) [clone .kd]",0,0,431,246845,246845,4194304,256,0,0,12,24,271232,0x7f9f7b44de80,0x7f9e7ad9d340,1815562,1815562,1020124,14524504,65536,422638165,6569779,0,1692339724,477210567099945,477210567022849,477210568787496,477210568858207
145,"void benchmark_func<__half2, 256, 8u, 80u>(__half2, __half2*) [clone .kd]",0,0,434,246845,246845,4194304,256,0,0,8,24,273216,0x7f9f7b44dd00,0x7f9e7ad9d380,3972595,3972595,2039099,31780768,65536,1141847885,16581914,0,4569136580,477210568871327,477210568787496,477210571829589,477210571902591
146,"void benchmark_func<int, 256, 8u, 80u>(int, int*) [clone .kd]",0,0,437,246845,246845,4194304,256,0,0,8,24,275712,0x7f9f7b44db80,0x7f9e7ad9d3c0,3839970,3839970,2038628,30719768,65536,1144504752,15615251,0,4579764440,477210571914901,477210571829589,477210574815042,477210574887067
147,"void benchmark_func<float, 256, 8u, 96u>(float, float*) [clone .kd]",0,0,440,246845,246845,4194304,256,0,0,12,24,280768,0x7f9f7b44da00,0x7f9e7ad9d400,1540277,1540277,1021829,12322224,65536,261210436,4267642,0,1046633876,477210574908367,477210574815042,477210576408329,477210576480513
148,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 96u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,443,246845,246845,4194304,256,0,0,12,24,287616,0x7f9f7b44d880,0x7f9e7ad9d440,1830826,1830826,1022445,14646616,65536,432890244,6692965,0,1733354492,477210576495143,477210576408329,477210578188976,477210578252065
149,"void benchmark_func<double, 256, 8u, 96u>(double, double*) [clone .kd]",0,0,446,246845,246845,4194304,256,0,0,12,24,294208,0x7f9f7b44d700,0x7f9e7ad9d480,1827349,1827349,1021851,14618800,65536,438916501,6678543,0,1757463224,477210578264485,477210578188976,477210579964184,477210580043146
150,"void benchmark_func<__half2, 256, 8u, 96u>(__half2, __half2*) [clone .kd]",0,0,449,246845,246845,4194304,256,0,0,8,24,296960,0x7f9f7d6ea580,0x7f9e7ad9d4c0,5092567,5092567,3042794,40740544,65536,1234594246,18234504,0,4940122380,477210580056176,477210579964184,477210583675079,477210583741127
151,"void benchmark_func<int, 256, 8u, 96u>(int, int*) [clone .kd]",0,0,452,246845,246845,4194304,256,0,0,8,24,299968,0x7f9f7d6ea400,0x7f9e7ad9d500,5086337,5086337,3041922,40690704,65536,1308838730,18301665,0,5237097912,477210583754477,477210583675079,477210587412695,477210587482037
152,"void benchmark_func<float, 256, 8u, 128u>(float, float*) [clone .kd]",0,0,455,246845,246845,4194304,256,0,0,8,24,302720,0x7f9f7d6ea280,0x7f9e7ad9d540,5167607,5167607,3043711,41340864,65536,1307417312,18873209,0,5231415508,477210587503927,477210587412695,477210591173671,477210591239966
153,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 128u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,458,246845,246845,4194304,256,0,0,12,24,305472,0x7f9f7d6ea100,0x7f9e7ad9d580,3975402,3975402,2040577,31803224,65536,1177333991,16792117,0,4711075408,477210591253426,477210591173627,477210594242920,477210594312130
154,"void benchmark_func<double, 256, 8u, 128u>(double, double*) [clone .kd]",0,0,461,246845,246845,4194304,256,0,0,12,24,308224,0x7f9f7b44df80,0x7f9e7ad9d5c0,5014044,5014044,3040980,40112360,65536,1209931075,17539685,0,4841464204,477210594326390,477210594242920,477210597927095,477210598004691
155,"void benchmark_func<__half2, 256, 8u, 128u>(__half2, __half2*) [clone .kd]",0,0,464,246845,246845,4194304,256,0,0,8,24,310976,0x7f9f7b44de00,0x7f9e7ad9d600,5016818,5016818,3041968,40134552,65536,1275434060,17900041,0,5103483788,477210598018450,477210597927095,477210601599430,477210601671312
156,"void benchmark_func<int, 256, 8u, 128u>(int, int*) [clone .kd]",0,0,467,246845,246845,4194304,256,0,0,8,24,313216,0x7f9f7b44dc80,0x7f9e7ad9d640,3987901,3987901,2038507,31903216,65536,1202367990,16825280,0,4811220824,477210601684692,477210601599430,477210604695603,477210604767265
157,"void benchmark_func<float, 256, 8u, 256u>(float, float*) [clone .kd]",0,0,470,246845,246845,4194304,256,0,0,8,24,315968,0x7f9f7b44db00,0x7f9e7ad9d680,3795368,3795368,2036891,30362952,65536,1113470722,15100581,0,4455629500,477210604789445,477210604695603,477210607658495,477210607732452
158,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 256u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,473,246845,246845,4194304,256,0,0,12,24,318720,0x7f9f7b44d980,0x7f9e7ad9d6c0,3706622,3706622,2034098,29652984,65536,1057210215,14468144,0,4230579792,477210607745612,477210607658495,477210610599788,477210610668769
