Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
0,"__amd_rocclr_fillBufferAligned.kd",0,0,0,246664,246664,33554432,256,0,0,4,32,2560,0x0,0x7fd2d0f348c0,3741973,3741973,524288,4718592,688589,77215524,477209036502601,477208327654579,477209188403907,477209188499967
1,"void benchmark_func<short, 256, 8u, 0u>(short, short*) [clone .kd]",0,0,2,246664,246664,32768,256,0,0,12,24,13888,0x0,0x7fd2d0e5af80,1026620,1026620,512,8192,13882,1560924,477209193553689,477209188403907,477209194293214,477209194373781
2,"void benchmark_func<float, 256, 8u, 0u>(float, float*) [clone .kd]",0,0,5,246664,246664,4194304,256,0,0,12,24,14336,0x7fd2d31cd380,0x7fd2d0e5afc0,1250029,1250029,65536,917504,164752,18440672,477209194346472,477209194293214,477209195694980,477209195740162
3,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 0u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,8,246664,246664,4194304,256,0,0,16,24,15040,0x7fd2d31cd200,0x7fd2d0e5b000,1446950,1446950,65536,1114112,179722,20168940,477209195759382,477209195694980,477209197216908,477209197261680
4,"void benchmark_func<double, 256, 8u, 0u>(double, double*) [clone .kd]",0,0,11,246664,246664,4194304,256,0,0,16,24,15488,0x7fd2d31cd080,0x7fd2d0e5b040,1423069,1423069,65536,917504,153268,17099536,477209197276339,477209197216908,477209198722195,477209198764617
5,"void benchmark_func<__half2, 256, 8u, 0u>(__half2, __half2*) [clone .kd]",0,0,14,246664,246664,4194304,256,0,0,12,24,15936,0x7fd2d0f1df00,0x7fd2d0e5b080,1261374,1261374,65536,1048576,180722,20197276,477209198778897,477209198722195,477209200127161,477209200148567
6,"void benchmark_func<int, 256, 8u, 0u>(int, int*) [clone .kd]",0,0,17,246664,246664,4194304,256,0,0,12,24,16384,0x7fd2d0f1dd80,0x7fd2d0e5b0c0,1263149,1263149,65536,983040,169503,18987720,477209200172257,477209200127161,477209201532928,477209201604686
7,"void benchmark_func<float, 256, 8u, 1u>(float, float*) [clone .kd]",0,0,20,246664,246664,4194304,256,0,0,12,24,17088,0x7fd2d0f1dc00,0x7fd2d0e5b100,1261068,1261068,65536,1114112,183190,20502828,477209201634335,477209201532928,477209202941254,477209203013266
8,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 1u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,23,246664,246664,4194304,256,0,0,16,24,17792,0x7fd2d0f1da80,0x7fd2d0e5b140,1513317,1513317,65536,1310720,207674,23343340,477209203027266,477209202941254,477209204502702,477209204575162
9,"void benchmark_func<double, 256, 8u, 1u>(double, double*) [clone .kd]",0,0,26,246664,246664,4194304,256,0,0,16,24,18496,0x7fd2d0f1d900,0x7fd2d0e5b180,1463586,1463586,65536,1179648,196289,21978916,477209204588892,477209204502702,477209206026869,477209206101069
10,"void benchmark_func<__half2, 256, 8u, 1u>(__half2, __half2*) [clone .kd]",0,0,29,246664,246664,4194304,256,0,0,16,24,19200,0x7fd2d0f1d780,0x7fd2d0e5b1c0,1280020,1280020,65536,1245184,205021,22937504,477209206114469,477209206026869,477209207445436,477209207491710
11,"void benchmark_func<int, 256, 8u, 1u>(int, int*) [clone .kd]",0,0,32,246664,246664,4194304,256,0,0,16,24,19904,0x7fd2d0f1d600,0x7fd2d0e5b200,1240544,1240544,65536,1245184,205246,22997472,477209207504429,477209207445436,477209208843362,477209208884360
12,"void benchmark_func<float, 256, 8u, 2u>(float, float*) [clone .kd]",0,0,35,246664,246664,4194304,256,0,0,12,24,20608,0x7fd2d31cd480,0x7fd2d0e5b240,1261936,1261936,65536,1245184,214772,24051044,477209208907409,477209208843362,477209210247049,477209210289359
13,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 2u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,38,246664,246664,4194304,256,0,0,16,24,21312,0x7fd2d31cd300,0x7fd2d0e5b280,1513694,1513694,65536,1441792,240743,26935732,477209210304249,477209210247049,477209211809776,477209211851586
14,"void benchmark_func<double, 256, 8u, 2u>(double, double*) [clone .kd]",0,0,41,246664,246664,4194304,256,0,0,16,24,22016,0x7fd2d31cd180,0x7fd2d0e5b2c0,1499165,1499165,65536,1310720,234293,26261288,477209211865485,477209211809776,477209213362263,477209213405653
15,"void benchmark_func<__half2, 256, 8u, 2u>(__half2, __half2*) [clone .kd]",0,0,44,246664,246664,4194304,256,0,0,16,24,22720,0x7fd2d31cd000,0x7fd2d0e5b300,1270592,1270592,65536,1376256,235027,26238736,477209213419592,477209213362263,477209214771870,477209214817212
16,"void benchmark_func<int, 256, 8u, 2u>(int, int*) [clone .kd]",0,0,47,246664,246664,4194304,256,0,0,12,24,23424,0x7fd2d0f1de80,0x7fd2d0e5b340,1288336,1288336,65536,1441792,238480,26699772,477209214829452,477209214771870,477209216197317,477209216240512
17,"void benchmark_func<float, 256, 8u, 3u>(float, float*) [clone .kd]",0,0,50,246664,246664,4194304,256,0,0,12,24,24128,0x7fd2d0f1dd00,0x7fd2d0e5b380,1259438,1259438,65536,1310720,255547,28597080,477209216263252,477209216197317,477209217605003,477209217646442
18,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 3u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,53,246664,246664,4194304,256,0,0,16,24,24832,0x7fd2d0f1db80,0x7fd2d0e5b3c0,1591720,1591720,65536,1572864,253512,28442556,477209217660621,477209217605003,477209219209491,477209219256627
19,"void benchmark_func<double, 256, 8u, 3u>(double, double*) [clone .kd]",0,0,56,246664,246664,4194304,256,0,0,16,24,25536,0x7fd2d0f1da00,0x7fd2d0e5b400,1484307,1484307,65536,1441792,227321,25543484,477209219271457,477209219209491,477209220753498,477209220795714
20,"void benchmark_func<__half2, 256, 8u, 3u>(__half2, __half2*) [clone .kd]",0,0,59,246664,246664,4194304,256,0,0,12,24,26240,0x7fd2d0f1d880,0x7fd2d0e5b440,1266889,1266889,65536,1507328,253810,28469476,477209220810334,477209220753498,477209222165985,477209222206464
21,"void benchmark_func<int, 256, 8u, 3u>(int, int*) [clone .kd]",0,0,62,246664,246664,4194304,256,0,0,12,24,26944,0x7fd2d0f1d700,0x7fd2d0e5b480,1351548,1351548,65536,1638400,265688,29796696,477209222219483,477209222165985,477209223623752,477209223639543
22,"void benchmark_func<float, 256, 8u, 4u>(float, float*) [clone .kd]",0,0,65,246664,246664,4194304,256,0,0,12,24,27648,0x7fd2d31cd580,0x7fd2d0e5b4c0,1272275,1272275,65536,1441792,240687,26943456,477209223674212,477209223623752,477209225035278,477209225080252
23,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 4u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,68,246664,246664,4194304,256,0,0,16,24,28608,0x7fd2d31cd400,0x7fd2d0e5b500,1543111,1543111,65536,1703936,280677,31385396,477209225095292,477209225035278,477209226613686,477209226656378
24,"void benchmark_func<double, 256, 8u, 4u>(double, double*) [clone .kd]",0,0,71,246664,246664,4194304,256,0,0,16,24,29312,0x7fd2d31cd280,0x7fd2d0e5b540,1477507,1477507,65536,1572864,269043,30098572,477209226670398,477209226613686,477209228153373,477209228197525
25,"void benchmark_func<__half2, 256, 8u, 4u>(__half2, __half2*) [clone .kd]",0,0,74,246664,246664,4194304,256,0,0,12,24,30016,0x7fd2d31cd100,0x7fd2d0e5b580,1294327,1294327,65536,1638400,268981,30112124,477209228211105,477209228153373,477209229574660,477209229620014
26,"void benchmark_func<int, 256, 8u, 4u>(int, int*) [clone .kd]",0,0,77,246664,246664,4194304,256,0,0,8,24,30976,0x7fd2d0f1df80,0x7fd2d0e5b5c0,1374970,1374970,65536,1835008,290356,32497008,477209229632924,477209229574660,477209231050827,477209231092733
27,"void benchmark_func<float, 256, 8u, 5u>(float, float*) [clone .kd]",0,0,80,246664,246664,4194304,256,0,0,12,24,31680,0x7fd2d0f1de00,0x7fd2d0e5b600,1259690,1259690,65536,1507328,355407,39886180,477209231114462,477209231050827,477209232459313,477209232502242
28,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 5u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,83,246664,246664,4194304,256,0,0,16,24,32640,0x7fd2d0f1dc80,0x7fd2d0e5b640,1469229,1469229,65536,1835008,295048,33113920,477209232526762,477209232459313,477209233990360,477209234036710
29,"void benchmark_func<double, 256, 8u, 5u>(double, double*) [clone .kd]",0,0,86,246664,246664,4194304,256,0,0,12,24,33600,0x7fd2d0f1db00,0x7fd2d0e5b680,1487828,1487828,65536,1703936,281944,31688488,477209234050799,477209233990360,477209235538048,477209235580187
30,"void benchmark_func<__half2, 256, 8u, 5u>(__half2, __half2*) [clone .kd]",0,0,89,246664,246664,4194304,256,0,0,12,24,34560,0x7fd2d0f1d980,0x7fd2d0e5b6c0,1319517,1319517,65536,1769472,288507,32256332,477209235598096,477209235538048,477209236981575,477209237021876
31,"void benchmark_func<int, 256, 8u, 5u>(int, int*) [clone .kd]",0,0,92,246664,246664,4194304,256,0,0,8,24,35520,0x7fd2d0f1d800,0x7fd2d0e5b700,1415216,1415216,65536,2031616,337645,37911420,477209237036395,477209236981575,477209238477902,477209238523323
32,"void benchmark_func<float, 256, 8u, 6u>(float, float*) [clone .kd]",0,0,95,246664,246664,4194304,256,0,0,12,24,36224,0x7fd2d0f1d680,0x7fd2d0e5b740,1321177,1321177,65536,1638400,277943,31182116,477209238544813,477209238477902,477209239923508,477209239938643
33,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 6u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,98,246664,246664,4194304,256,0,0,12,24,37184,0x7fd2d31cd500,0x7fd2d0e5b780,1486870,1486870,65536,1966080,316550,35436596,477209239966072,477209239923508,477209241479836,477209241527479
34,"void benchmark_func<double, 256, 8u, 6u>(double, double*) [clone .kd]",0,0,101,246664,246664,4194304,256,0,0,12,24,38144,0x7fd2d31cd380,0x7fd2d0e5b7c0,1456330,1456330,65536,1835008,290565,32614828,477209241540919,477209241479836,477209243008643,477209243051196
35,"void benchmark_func<__half2, 256, 8u, 6u>(__half2, __half2*) [clone .kd]",0,0,104,246664,246664,4194304,256,0,0,12,24,39104,0x7fd2d31cd200,0x7fd2d0e5b800,1359992,1359992,65536,1900544,303630,34088524,477209243064656,477209243008643,477209244475690,477209244519285
36,"void benchmark_func<int, 256, 8u, 6u>(int, int*) [clone .kd]",0,0,107,246664,246664,4194304,256,0,0,8,24,40320,0x7fd2d31cd080,0x7fd2d0e5b840,1462996,1462996,65536,2228224,351046,39306944,477209244533704,477209244475690,477209246002257,477209246046552
37,"void benchmark_func<float, 256, 8u, 7u>(float, float*) [clone .kd]",0,0,110,246664,246664,4194304,256,0,0,12,24,41280,0x7fd2d0f1df00,0x7fd2d0e5b880,1354675,1354675,65536,1703936,289448,32385508,477209246067971,477209246002257,477209247467224,477209247480941
38,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 7u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,113,246664,246664,4194304,256,0,0,12,24,42240,0x7fd2d0f1dd80,0x7fd2d0e5b8c0,1495876,1495876,65536,2097152,344788,38603944,477209247512310,477209247467224,477209249019391,477209249061427
39,"void benchmark_func<double, 256, 8u, 7u>(double, double*) [clone .kd]",0,0,116,246664,246664,4194304,256,0,0,12,24,43200,0x7fd2d0f1dc00,0x7fd2d0e5b900,1450019,1450019,65536,1966080,296804,33203980,477209249075487,477209249019391,477209250542118,477209250584604
40,"void benchmark_func<__half2, 256, 8u, 7u>(__half2, __half2*) [clone .kd]",0,0,119,246664,246664,4194304,256,0,0,8,24,44160,0x7fd2d0f1da80,0x7fd2d0e5b940,1388263,1388263,65536,2031616,332144,37136624,477209250597874,477209250541917,477209252020163,477209252049023
41,"void benchmark_func<int, 256, 8u, 7u>(int, int*) [clone .kd]",0,0,122,246664,246664,4194304,256,0,0,12,24,45376,0x7fd2d0f1d900,0x7fd2d0e5b980,1463763,1463763,65536,2424832,423451,47356720,477209252062802,477209252020163,477209253559850,477209253605339
42,"void benchmark_func<float, 256, 8u, 8u>(float, float*) [clone .kd]",0,0,125,246664,246664,4194304,256,0,0,12,24,46336,0x7fd2d0f1d780,0x7fd2d0e5b9c0,1379085,1379085,65536,1835008,294546,32955164,477209253626759,477209253559850,477209255039536,477209255082168
