Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj,GRBM_COUNT,GRBM_GUI_ACTIVE,SQ_WAVES,SQ_IFETCH,SQ_IFETCH_LEVEL,SQ_ACCUM_PREV_HIRES,DispatchNs,BeginNs,EndNs,CompleteNs
43,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 8u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,128,246664,246664,4194304,256,0,0,12,24,47552,0x7fd2d0f1d600,0x7fd2d0e5ba00,1500207,1500207,65536,2228224,346575,38733600,477209255095528,477209255039536,477209256592663,477209256636015
44,"void benchmark_func<double, 256, 8u, 8u>(double, double*) [clone .kd]",0,0,131,246664,246664,4194304,256,0,0,12,24,48512,0x7fd2d31cd480,0x7fd2d0e5ba40,1497499,1497499,65536,2097152,332801,37213752,477209256649724,477209256592663,477209258139549,477209258186871
45,"void benchmark_func<__half2, 256, 8u, 8u>(__half2, __half2*) [clone .kd]",0,0,134,246664,246664,4194304,256,0,0,8,24,49472,0x7fd2d31cd300,0x7fd2d0e5ba80,1410559,1410559,65536,2162688,365479,40939944,477209258199631,477209258139549,477209259636516,477209259649760
46,"void benchmark_func<int, 256, 8u, 8u>(int, int*) [clone .kd]",0,0,137,246664,246664,4194304,256,0,0,12,24,50688,0x7fd2d31cd180,0x7fd2d0e5bac0,1446431,1446431,65536,2621440,420453,47128804,477209259681209,477209259636516,477209261168363,477209261213876
47,"void benchmark_func<float, 256, 8u, 9u>(float, float*) [clone .kd]",0,0,140,246664,246664,4194304,256,0,0,12,24,51648,0x7fd2d31cd000,0x7fd2d0e5bb00,1382429,1382429,65536,1966080,343385,38559456,477209261236696,477209261168363,477209262649329,477209262692084
48,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 9u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,143,246664,246664,4194304,256,0,0,12,24,52864,0x7fd2d0f1de80,0x7fd2d0e5bb40,1522553,1522553,65536,2359296,379821,42455712,477209262705834,477209262649329,477209264218136,477209264263471
49,"void benchmark_func<double, 256, 8u, 9u>(double, double*) [clone .kd]",0,0,146,246664,246664,4194304,256,0,0,12,24,54080,0x7fd2d0f1dd00,0x7fd2d0e5bb80,1495511,1495511,65536,2228224,356130,39817936,477209264277480,477209264218136,477209265767103,477209265809807
50,"void benchmark_func<__half2, 256, 8u, 9u>(__half2, __half2*) [clone .kd]",0,0,149,246664,246664,4194304,256,0,0,8,24,55296,0x7fd2d0f1db80,0x7fd2d0e5bbc0,1440894,1440894,65536,2293760,430394,48368160,477209265823897,477209265767103,477209267284389,477209267324805
51,"void benchmark_func<int, 256, 8u, 9u>(int, int*) [clone .kd]",0,0,152,246664,246664,4194304,256,0,0,12,24,56768,0x7fd2d0f1da00,0x7fd2d0e5bc00,1457320,1457320,65536,2752512,427299,47904376,477209267339274,477209267284389,477209268811596,477209268854972
52,"void benchmark_func<float, 256, 8u, 10u>(float, float*) [clone .kd]",0,0,155,246664,246664,4194304,256,0,0,12,24,57728,0x7fd2d0f1d880,0x7fd2d0e5bc40,1398410,1398410,65536,2031616,335870,37574208,477209268878101,477209268811596,477209270299122,477209270345100
53,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 10u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,158,246664,246664,4194304,256,0,0,12,24,58944,0x7fd2d0f1d700,0x7fd2d0e5bc80,1533029,1533029,65536,2490368,396889,44459088,477209270358000,477209270299122,477209271874329,477209271917077
54,"void benchmark_func<double, 256, 8u, 10u>(double, double*) [clone .kd]",0,0,161,246664,246664,4194304,256,0,0,12,24,60160,0x7fd2d31cd580,0x7fd2d0e5bcc0,1488537,1488537,65536,2359296,396169,44322872,477209271931106,477209271874329,477209273425056,477209273467653
55,"void benchmark_func<__half2, 256, 8u, 10u>(__half2, __half2*) [clone .kd]",0,0,164,246664,246664,4194304,256,0,0,8,24,61376,0x7fd2d31cd400,0x7fd2d0e5bd00,1506170,1506170,65536,2424832,383561,42952428,477209273481783,477209273425056,477209274976262,477209275021980
56,"void benchmark_func<int, 256, 8u, 10u>(int, int*) [clone .kd]",0,0,167,246664,246664,4194304,256,0,0,12,24,62848,0x7fd2d31cd280,0x7fd2d0e5bd40,1446845,1446845,65536,2949120,496901,55691748,477209275035530,477209274976262,477209276497549,477209276542807
57,"void benchmark_func<float, 256, 8u, 11u>(float, float*) [clone .kd]",0,0,170,246664,246664,4194304,256,0,0,12,24,63808,0x7fd2d31cd100,0x7fd2d0e5bd80,1405603,1405603,65536,2162688,359692,40303144,477209276566117,477209276497549,477209277992436,477209278033215
58,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 11u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,173,246664,246664,4194304,256,0,0,12,24,65024,0x7fd2d0f1df80,0x7fd2d0e5bdc0,1525625,1525625,65536,2621440,413253,46286956,477209278047455,477209277992436,477209279557562,477209279573522
59,"void benchmark_func<double, 256, 8u, 11u>(double, double*) [clone .kd]",0,0,176,246664,246664,4194304,256,0,0,12,24,66240,0x7fd2d0f1de00,0x7fd2d0e5be00,1491573,1491573,65536,2490368,383632,42956748,477209279601811,477209279557562,477209281115329,477209281164768
60,"void benchmark_func<__half2, 256, 8u, 11u>(__half2, __half2*) [clone .kd]",0,0,179,246664,246664,4194304,256,0,0,8,24,67456,0x7fd2d0f1dc80,0x7fd2d0e5be40,1434645,1434645,65536,2555904,447419,50110864,477209281178767,477209281115329,477209282626056,477209282670265
61,"void benchmark_func<int, 256, 8u, 11u>(int, int*) [clone .kd]",0,0,182,246664,246664,4194304,256,0,0,12,24,68928,0x7fd2d0f1db00,0x7fd2d0e5be80,1456894,1456894,65536,3145728,510511,57183508,477209282685055,477209282626056,477209284154222,477209284197153
62,"void benchmark_func<float, 256, 8u, 12u>(float, float*) [clone .kd]",0,0,185,246664,246664,4194304,256,0,0,12,24,70144,0x7fd2d0f1d980,0x7fd2d0e5bec0,1406653,1406653,65536,2228224,364033,40752244,477209284220292,477209284154222,477209285651349,477209285690770
63,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 12u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,188,246664,246664,4194304,256,0,0,12,24,71616,0x7fd2d0f1d800,0x7fd2d0e5bf00,1502218,1502218,65536,2752512,439779,49287836,477209285704760,477209285651349,477209287203835,477209287220208
64,"void benchmark_func<double, 256, 8u, 12u>(double, double*) [clone .kd]",0,0,191,246664,246664,4194304,256,0,0,12,24,72832,0x7fd2d0f1d680,0x7fd2d0e5bf40,1508270,1508270,65536,2621440,407953,45677060,477209287248027,477209287203835,477209288776002,477209288824203
65,"void benchmark_func<__half2, 256, 8u, 12u>(__half2, __half2*) [clone .kd]",0,0,194,246664,246664,4194304,256,0,0,8,24,74048,0x7fd2d31cd500,0x7fd2d0e5bf80,1495013,1495013,65536,2686976,458350,51365100,477209288838393,477209288776002,477209290322249,477209290368100
66,"void benchmark_func<int, 256, 8u, 12u>(int, int*) [clone .kd]",0,0,197,246664,246664,4194304,256,0,0,12,24,75776,0x7fd2d31cd380,0x7fd2d0e5bfc0,1471618,1471618,65536,3342336,547357,61241608,477209290381940,477209290322249,477209291859536,477209291899778
67,"void benchmark_func<float, 256, 8u, 13u>(float, float*) [clone .kd]",0,0,200,246664,246664,4194304,256,0,0,12,24,76992,0x7fd2d31cd200,0x7fd2d0e5c000,1422430,1422430,65536,2359296,375235,42022800,477209291934207,477209291859536,477209293364502,477209293407565
68,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 13u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,203,246664,246664,4194304,256,0,0,12,24,78464,0x7fd2d31cd080,0x7fd2d0e5c040,1503862,1503862,65536,2883584,456377,51195848,477209293435225,477209293364502,477209294918589,477209294964272
69,"void benchmark_func<double, 256, 8u, 13u>(double, double*) [clone .kd]",0,0,206,246664,246664,4194304,256,0,0,12,24,79936,0x7fd2d0f1df00,0x7fd2d0e5c080,1495771,1495771,65536,2686976,438867,49136484,477209294991921,477209294918589,477209296472356,477209296515308
70,"void benchmark_func<__half2, 256, 8u, 13u>(__half2, __half2*) [clone .kd]",0,0,209,246664,246664,4194304,256,0,0,8,24,81408,0x7fd2d0f1dd80,0x7fd2d0e5c0c0,1456787,1456787,65536,2818048,462731,51841484,477209296543548,477209296472356,477209297997962,477209298040896
71,"void benchmark_func<int, 256, 8u, 13u>(int, int*) [clone .kd]",0,0,212,246664,246664,4194304,256,0,0,12,24,83136,0x7fd2d0f1dc00,0x7fd2d0e5c100,1465260,1465260,65536,3538944,703629,78882328,477209298068375,477209297997962,477209299525009,477209299570663
72,"void benchmark_func<float, 256, 8u, 14u>(float, float*) [clone .kd]",0,0,215,246664,246664,4194304,256,0,0,12,24,84352,0x7fd2d0f1da80,0x7fd2d0e5c140,1426879,1426879,65536,2424832,396129,44392752,477209299616612,477209299525009,477209301033815,477209301074360
73,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 14u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,218,246664,246664,4194304,256,0,0,12,24,85824,0x7fd2d0f1d900,0x7fd2d0e5c180,1477312,1477312,65536,3014656,484629,54240112,477209301101470,477209301033815,477209302576382,477209302615547
74,"void benchmark_func<double, 256, 8u, 14u>(double, double*) [clone .kd]",0,0,221,246664,246664,4194304,256,0,0,12,24,87296,0x7fd2d0f1d780,0x7fd2d0e5c1c0,1503836,1503836,65536,2818048,447572,50066872,477209302629367,477209302576382,477209304129829,477209304177194
75,"void benchmark_func<__half2, 256, 8u, 14u>(__half2, __half2*) [clone .kd]",0,0,224,246664,246664,4194304,256,0,0,12,24,88768,0x7fd2d0f1d600,0x7fd2d0e5c200,1456376,1456376,65536,2949120,460691,51551548,477209304190053,477209304129829,477209305657035,477209305700691
76,"void benchmark_func<int, 256, 8u, 14u>(int, int*) [clone .kd]",0,0,227,246664,246664,4194304,256,0,0,12,24,90752,0x7fd2d31cd480,0x7fd2d0e5c240,1457482,1457482,65536,3735552,676164,75688128,477209305714010,477209305657035,477209307185202,477209307227858
77,"void benchmark_func<float, 256, 8u, 15u>(float, float*) [clone .kd]",0,0,230,246664,246664,4194304,256,0,0,12,24,91968,0x7fd2d31cd300,0x7fd2d0e5c280,1449549,1449549,65536,2555904,454544,50884732,477209307250027,477209307185202,477209308702329,477209308747595
78,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 15u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,233,246664,246664,4194304,256,0,0,12,24,93440,0x7fd2d31cd180,0x7fd2d0e5c2c0,1474775,1474775,65536,3145728,543724,60928704,477209308760815,477209308702329,477209310244415,477209310287733
79,"void benchmark_func<double, 256, 8u, 15u>(double, double*) [clone .kd]",0,0,236,246664,246664,4194304,256,0,0,12,24,94912,0x7fd2d31cd000,0x7fd2d0e5c300,1496303,1496303,65536,2949120,452987,50823820,477209310300592,477209310244415,477209311800102,477209311841869
80,"void benchmark_func<__half2, 256, 8u, 15u>(__half2, __half2*) [clone .kd]",0,0,239,246664,246664,4194304,256,0,0,12,24,96384,0x7fd2d0f1de80,0x7fd2d0e5c340,1470129,1470129,65536,3080192,525646,58860484,477209311854939,477209311800102,477209313329229,477209313374116
81,"void benchmark_func<int, 256, 8u, 15u>(int, int*) [clone .kd]",0,0,242,246664,246664,4194304,256,0,0,12,24,98368,0x7fd2d0f1dd00,0x7fd2d0e5c380,1466144,1466144,65536,3932160,660976,73944056,477209313387166,477209313329269,477209314866395,477209314907243
82,"void benchmark_func<float, 256, 8u, 16u>(float, float*) [clone .kd]",0,0,245,246664,246664,4194304,256,0,0,12,24,99584,0x7fd2d0f1db80,0x7fd2d0e5c3c0,1447904,1447904,65536,2621440,437684,49030280,477209314928133,477209314866395,477209316390082,477209316434301
83,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 16u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,248,246664,246664,4194304,256,0,0,12,24,101312,0x7fd2d0f1da00,0x7fd2d0e5c400,1508227,1508227,65536,3276800,571896,64040296,477209316448410,477209316390082,477209317944969,477209317989657
84,"void benchmark_func<double, 256, 8u, 16u>(double, double*) [clone .kd]",0,0,251,246664,246664,4194304,256,0,0,12,24,102784,0x7fd2d0f1d880,0x7fd2d0e5c440,1509293,1509293,65536,3080192,495682,55542676,477209318003037,477209317944969,477209319506096,477209319546484
85,"void benchmark_func<__half2, 256, 8u, 16u>(__half2, __half2*) [clone .kd]",0,0,254,246664,246664,4194304,256,0,0,12,24,104256,0x7fd2d0f1d700,0x7fd2d0e5c480,1457103,1457103,65536,3211264,510588,57148880,477209319558773,477209319506096,477209321032982,477209321075931
86,"void benchmark_func<int, 256, 8u, 16u>(int, int*) [clone .kd]",0,0,257,246664,246664,4194304,256,0,0,12,24,106240,0x7fd2d31cd580,0x7fd2d0e5c4c0,1479280,1479280,65536,4128768,726371,81302476,477209321090100,477209321032982,477209322568829,477209322611418
87,"void benchmark_func<float, 256, 8u, 17u>(float, float*) [clone .kd]",0,0,260,246664,246664,4194304,256,0,0,12,24,107712,0x7fd2d31cd400,0x7fd2d0e5c500,1454760,1454760,65536,2752512,451578,50669192,477209322632327,477209322568829,477209324096676,477209324136705
88,"void benchmark_func<HIP_vector_type<float, 2u>, 256, 8u, 17u>(HIP_vector_type<float, 2u>, HIP_vector_type<float, 2u>*) [clone .kd]",0,0,263,246664,246664,4194304,256,0,0,16,24,109440,0x7fd2d31cd280,0x7fd2d0e5c540,1475975,1475975,65536,3407872,546233,61142936,477209324150165,477209324096676,477209325638923,477209325678362
89,"void benchmark_func<double, 256, 8u, 17u>(double, double*) [clone .kd]",0,0,266,246664,246664,4194304,256,0,0,16,24,111168,0x7fd2d31cd100,0x7fd2d0e5c580,1523472,1523472,65536,3211264,504319,56417900,477209325692052,477209325638923,477209327205009,477209327248238
90,"void benchmark_func<__half2, 256, 8u, 17u>(__half2, __half2*) [clone .kd]",0,0,269,246664,246664,4194304,256,0,0,8,24,112896,0x7fd2d0f1df80,0x7fd2d0e5c5c0,1460533,1460533,65536,3276800,552578,61958620,477209327260448,477209327205009,477209328734136,477209328774525
91,"void benchmark_func<int, 256, 8u, 17u>(int, int*) [clone .kd]",0,0,272,246664,246664,4194304,256,0,0,12,24,115136,0x7fd2d0f1de00,0x7fd2d0e5c600,1476623,1476623,65536,4325376,689890,77347720,477209328788575,477209328734136,477209330276543,477209330317212
